time,CA1,CA2,CA3,CA4,CA5,ST1,ST2,ST3,ST4
0,-634.1381,-686.5804,-443.97100000000006,-261.5690000000001,112.44299999999998,-222.57700000000006,-258.3020000000001,-469.8950000000001,-337.1770000000001
5,2052.082,1499.022,1342.502,734.9219999999999,106.4609999999999,-251.93700000000007,-636.9385000000001,-111.49700000000007,-64.14700000000005
10,4556.972,3318.5519999999997,2701.332,2306.4519999999998,1432.712,51.59999999999991,-193.04600000000005,96.78699999999992,153.85399999999993
15,3366.832,2705.3219999999997,2472.002,1775.2819999999997,1488.6319999999996,137.39099999999996,90.63499999999999,-236.19600000000008,205.53199999999993
20,1322.692,1179.7419999999997,980.882,533.4219999999999,539.872,294.5909999999999,258.31399999999996,170.5279999999999,-109.84300000000007
25,505.38199999999995,298.57899999999995,499.1819999999999,437.072,404.6089999999999,318.52099999999996,85.62799999999993,61.27399999999989,278.765
30,222.12199999999996,271.8069999999999,228.40199999999993,331.207,234.6389999999999,-189.35500000000008,10.528999999999883,-38.010000000000105,-126.98400000000004
