time,CA1,CA2,CA3,CA4,CA5,ST1,ST2,ST3,ST4
0,-658.8627,-321.883,81.62699999999995,-314.626,-2.019999999999982,-406.747,-580.375,-280.773,-331.951
5,2134.5020000000004,1190.932,1252.522,628.8119999999999,-8.018000000000029,-386.695,-200.39800000000002,-310.138,-109.49400000000003
10,2817.352,1983.322,1795.0919999999999,1123.482,475.24199999999996,-120.02300000000002,-106.80899999999997,125.29700000000003,-20.476999999999975
15,2387.9620000000004,1297.442,1232.972,1194.712,688.002,396.5820000000001,66.48400000000004,160.36599999999999,71.18200000000002
20,975.692,549.6120000000001,895.0219999999999,619.0419999999999,362.48199999999997,206.25900000000001,268.51199999999994,237.25900000000001,122.06700000000001
25,627.892,656.502,1094.122,389.66200000000003,501.962,75.25099999999998,115.06100000000004,362.01199999999994,179.663
30,224.96799999999996,173.245,436.182,298.46399999999994,579.982,346.49199999999996,-51.01700000000005,346.66200000000003,89.00999999999999
