time,CA1,CA2,CA3,CA4,CA5,ST1,ST2,ST3,ST4
0,-14.157828571428581,-7.433828571428592,16.162171428571412,209.98217142857146,348.8841714285714,102.61017142857145,-150.09482857142856,281.3121714285714,-376.9900285714286
5,524.0771714285713,157.27717142857142,136.8141714285714,524.3701714285714,426.5621714285714,-105.45082857142859,-61.18182857142858,-60.1378285714286,40.175171428571446
10,3718.6161714285718,3876.856171428572,2773.9461714285717,1991.4461714285715,1374.7761714285714,106.2441714285714,428.9841714285714,617.3751714285713,-97.38982857142855
15,2954.0261714285716,2773.1561714285717,2061.0161714285714,1629.8261714285713,1432.4961714285714,385.5511714285714,330.80017142857145,350.93017142857144,-213.07182857142857
20,1069.2461714285714,1280.0161714285714,973.1461714285713,894.0561714285714,1089.2061714285715,856.8861714285713,503.11217142857146,304.4901714285714,194.94717142857138
25,888.2861714285714,739.0661714285714,821.3861714285713,947.2561714285714,906.3761714285713,647.3161714285714,477.3451714285714,240.6771714285714,321.90517142857146
30,869.9161714285713,798.4161714285713,680.8561714285713,637.4211714285714,1029.9061714285713,610.8181714285715,730.6761714285715,427.5221714285714,130.4241714285714
