ROI,distance
CA1,0.0
CA2,74.83314773547883
CA3,146.94417324475862
CA4,221.77732098023745
CA5,293.88834648951723
ST1,369.8648401781386
ST2,895.9826976967748
ST3,1836.833376603901
ST4,2598.148029030872
