CA1,CA2,CA3,CA4,CA5,ST1,SV1,ST2,SV2,ST3,SV3,ST4,SV4,ST5,SV5,ST6,SV6,ST7,SV7,ST8,SV8,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,CN1,CN2,CM1,CM2,CA1 std,CA2 std,CA3 std,CA4 std,CA5 std,ST1 std,SV1 std,ST2 std,SV2 std,ST3 std,SV3 std,ST4 std,SV4 std,ST5 std,SV5 std,ST6 std,SV6 std,ST7 std,SV7 std,ST8 std,SV8 std,SM1 std,SM2 std,SM3 std,SM4 std,SM5 std,SM6 std,SM7 std,SM8 std,CN1 std,CN2 std,CM1 std,CM2 std,time
241.095,451.995,751.391,546.003,1220.26,95.0514,237.378,240.051,-44.7694,308.875,385.384,556.736,243.058,46.4399,215.829,191.565,498.31,224.432,357.069,294.593,376.656,689.875,549.511,978.328,401.17,649.24,356.652,542.119,293.841,-65.6506,687.369,-1663.02,2363.38,280.764,437.303,525.198,609.606,439.416,297.348,276.255,315.193,250.57,259.319,215.768,274.803,349.641,282.956,258.022,266.386,338.405,229.058,277.718,308.384,297.535,238.696,222.663,316.304,288.869,195.255,228.561,233.3,248.139,366.892,225.93,2275.42,2234.68,0
2488.63,2394.33,2597.96,2167.22,1375.7,278.639,301.4,413.699,436.46,465.067,451.745,171.769,306.704,465.025,175.277,-44.6859,306.077,385.426,611.361,177.908,618.878,875.968,1094.43,605.473,595.366,712.51,399.166,548.676,399.834,375.111,707.248,1886.04,10633.1,436.623,527.705,825.63,705.079,513.229,322.464,268.61,251.906,285.552,366.829,326.862,271.414,259.84,243.321,361.434,330.952,376.104,347.643,279.982,255.598,333.466,465.432,400.806,418.368,322.88,303.059,330.053,266.513,358.53,422.428,263.708,2835.56,2164.69,5
4303.5,3549.1,3155.41,2009.9,1840.26,244.937,497.433,492.38,198.915,343.664,374.484,313.386,207.309,112.717,149.719,-25.3498,4.21801,211.861,241.095,230.487,206.39,733.433,690.083,833.579,379.12,307.748,104.448,600.586,-96.0955,328.796,739.739,10691.9,17488.5,761.026,388.032,493.629,468.724,474.888,392.897,239.103,331.116,300.63,249.523,268.862,319.049,247.34,342.963,328.595,222.291,283.51,212.362,214.817,301.954,228.203,320.478,297.016,277.8,255.366,292.411,333.943,231.451,388.552,327.921,268.799,2519.09,2535.61,10
3101.53,2504.29,2533.6,2458.52,1977.41,605.89,302.152,674.464,272.584,629.611,22.0506,647.444,220.339,83.1073,263.02,121.487,-6.55671,281.855,394.572,74.9637,356.276,1109.8,1163.42,938.445,843.602,611.361,308.291,466.028,33.7859,220.339,366.132,3262.36,8195.8,750.994,564.612,667.962,377.973,248.891,215.1,320.765,278.752,312.047,432.073,219.326,275.953,360.361,260.723,281.3,256.297,393.308,295.349,283.967,278.025,458.989,332.529,469.478,297.829,355.243,278.249,277.121,243.856,306.875,361.273,373.815,2739.86,2688.57,15
1809.74,2077.81,1840.35,1444.98,1511.63,482.231,345.752,810.568,186.762,890.418,173.022,484.528,334.893,308.583,425.518,-135.06,364.002,241.805,349.301,389.31,262.352,959.243,1027.86,1166.8,746.964,731.386,574.109,692.255,226.478,638.757,869.996,637.588,4620.31,281.877,530.863,597.311,540.082,352.968,292.356,282.954,224.407,207.377,235.928,269.267,275.575,284.796,360.884,326.325,409.799,395.555,283.402,207.961,268.709,240.895,254.255,359.514,258.6,395.59,242.026,389.333,241.896,227.959,240.691,237.942,1977.57,2010.4,20
1388.27,1375.95,1882.36,1380.12,1729.22,660.223,379.579,687.076,590.689,647.486,291.126,741.284,-108.248,336.606,277.261,54.3748,127.793,557.905,139.737,356.944,521.781,1011.7,997.497,942.245,680.353,397.662,636.293,518.022,370.809,536.105,770.977,-396.952,4449.46,344.629,531.437,613.488,400.862,321.189,270.562,235.812,292.393,229.298,222.615,285.923,470.408,228.094,322.649,257.549,267.709,211.897,230.932,288.176,326.503,207.068,355.348,300.456,348.24,385.886,176.373,185.487,225.081,227.643,241.178,310.977,2585.71,2032.66,25
1221.39,1148.55,1532.89,1033.41,1204.51,615.746,280.56,719.442,487.661,641.931,310.588,566.299,253.624,616.414,124.912,120.234,404.846,212.279,426.479,132.554,369.89,969.641,1057.55,1086.45,794.448,623.055,334.35,673.42,184.799,437.42,674.13,-423.555,3224.9,381.76,476.932,627.32,637.969,282.897,364.65,146.898,285.289,236.735,280.819,219.902,338.697,300.32,258.18,293.312,219.866,237.199,312.641,224.111,281.904,307.338,303.035,313.105,311.489,321.291,193.09,223.044,217.202,377.169,266.665,477.391,2077.87,1819.76,30
