,CA1,CA2,CA3,CA4,CA5,ST1,SV1,ST2,SV2,ST3,SV3,ST4,SV4,ST5,SV5,ST6,SV6,ST7,SV7,ST8,SV8,SM1,SM2,SM3,SM4,SM5,SM6,SM7,SM8,CN1,CN2,CM1,CM2,CA1 std,CA2 std,CA3 std,CA4 std,CA5 std,ST1 std,SV1 std,ST2 std,SV2 std,ST3 std,SV3 std,ST4 std,SV4 std,ST5 std,SV5 std,ST6 std,SV6 std,ST7 std,SV7 std,ST8 std,SV8 std,SM1 std,SM2 std,SM3 std,SM4 std,SM5 std,SM6 std,SM7 std,SM8 std,CN1 std,CN2 std,CM1 std,CM2 std,time
0,223.702,539.781,539.059,675.225,107.2,307.797,280.91200000000003,176.048,532.688,278.066,129.71,3.5252,10.9154,203.697,319.817,345.64,321.77,180.72,36.059,279.298,333.365,565.307,738.933,366.876,649.274,231.899,209.176,499.72900000000004,368.44699999999995,53.5151,500.409,425.99699999999996,190.828,297.54900000000004,373.704,467.54900000000004,631.69,436.31,168.63299999999998,302.538,373.264,286.42,391.60900000000004,280.05,397.145,264.4,247.252,312.671,300.105,367.608,294.41,268.89599999999996,203.09900000000002,204.602,261.39,362.296,295.418,379.686,272.54,390.228,277.944,308.53,314.461,325.226,274.619,443.652,0
1,3528.22,2159.21,1496.09,1379.54,884.316,136.591,464.13800000000003,613.64,546.576,570.616,433.345,260.525,381.911,330.52,104.14200000000001,-31.471999999999998,296.28700000000003,265.282,76.4502,424.298,221.706,483.845,695.951,512.3009999999999,473.991,572.8240000000001,220.007,392.869,448.93199999999996,-24.9737,640.695,2682.21,-484.60900000000004,555.9159999999999,488.853,472.472,567.031,466.899,542.867,235.72299999999998,336.89599999999996,260.315,328.045,269.98900000000003,349.06,242.86,333.01300000000003,319.482,347.05300000000005,351.345,298.553,495.148,286.57,192.78900000000002,254.65099999999998,377.908,314.868,318.29,226.487,314.123,332.042,336.111,289.844,329.23,491.17400000000004,666.813,5
2,7530.26,5567.23,4449.15,3333.02,1892.06,690.982,488.559,493.741,541.989,543.263,631.309,209.72799999999998,40.1788,72.2029,-112.42399999999999,166.407,284.819,330.18,393.379,318.882,272.035,778.39,1105.64,467.32300000000004,478.918,379.83,140.329,355.961,389.981,661.676,766.0310000000001,3267.61,954.013,658.977,821.7669999999999,522.7919999999999,692.4119999999999,522.757,350.13,337.418,359.533,373.00800000000004,285.05400000000003,188.743,308.17400000000004,228.81099999999998,294.753,257.938,232.77900000000002,251.875,407.286,224.31400000000002,280.133,321.202,300.545,324.096,505.52,260.849,412.522,234.065,250.24099999999999,283.905,228.99400000000003,430.111,1630.23,729.0360000000001,10
3,5469.29,4293.78,3436.52,3061.66,1986.64,600.261,331.539,878.413,312.55400000000003,751.25,157.572,529.63,176.855,295.565,-47.1443,368.915,204.037,432.241,159.781,24.2092,279.68,746.069,1234.42,1014.24,622.559,498.71,142.91899999999998,516.803,638.571,740.165,970.747,2174.75,595.887,681.4939999999999,659.7719999999999,379.265,599.847,430.0,389.024,300.947,313.599,282.045,398.048,391.083,288.527,346.87699999999995,340.99800000000005,357.935,323.934,238.148,325.518,366.541,242.25099999999998,288.449,285.178,401.94699999999995,332.059,274.436,254.00799999999998,264.842,196.92700000000002,328.42800000000005,383.532,362.466,903.847,610.687,15
4,2225.76,1599.68,1361.15,1306.62,1116.55,1092.86,351.841,614.0219999999999,436.7,1051.02,66.5966,505.293,180.21,184.967,12.7842,342.964,163.816,318.033,222.47,238.69400000000002,341.18,898.799,1243.5,524.83,718.5889999999999,362.79900000000004,320.666,341.647,297.009,435.851,553.882,1200.18,620.2230000000001,371.9,251.97299999999998,359.778,589.609,248.96900000000002,286.622,286.594,354.68300000000005,339.05400000000003,248.44799999999998,283.207,323.737,207.998,365.099,300.742,261.119,329.574,265.70799999999997,179.486,364.82599999999996,239.74,252.72299999999998,364.744,325.717,264.45599999999996,336.969,245.024,297.32099999999997,309.731,344.64,405.426,325.81,480.159,20
5,1800.61,1365.66,1377.29,1480.37,1281.14,817.8889999999999,463.968,749.424,470.126,916.7230000000001,451.39599999999996,573.631,190.06400000000002,351.161,181.951,473.439,268.21299999999997,187.43,116.33200000000001,269.19,-66.6391,907.7610000000001,1029.44,744.837,711.794,730.9060000000001,218.817,153.07,489.324,691.1519999999999,774.2280000000001,918.1669999999999,79.8055,395.92199999999997,298.92,387.353,757.697,384.973,209.17700000000002,199.748,386.611,305.159,308.284,368.16,290.995,260.899,253.56400000000002,265.759,420.25699999999995,235.16400000000002,308.474,303.449,346.11300000000006,231.94400000000002,337.87199999999996,385.394,314.975,303.539,374.94,192.32,206.326,229.75400000000002,221.005,378.599,327.39599999999996,545.33,25
6,1547.01,1211.99,1141.53,1319.49,1151.04,811.3489999999999,118.795,637.0,299.175,470.50800000000004,158.592,462.481,12.0621,121.301,239.75599999999997,577.793,279.34,282.653,488.814,76.2803,136.124,937.959,987.057,706.909,689.7080000000001,387.772,291.275,296.117,555.283,681.7660000000001,687.669,654.371,347.976,261.055,278.997,410.108,576.5830000000001,351.1,237.378,270.172,328.721,237.62099999999998,398.12699999999995,261.503,213.44,325.317,333.575,183.174,304.733,354.80300000000005,257.78700000000003,222.799,309.37,289.14799999999997,301.624,256.193,250.702,363.60900000000004,275.471,369.04900000000004,294.257,295.844,280.649,222.485,299.566,389.26800000000003,30
