,Unnamed: 0,x,y,z,x microns,y microns,z microns,distance microns
0,CA 1,149,169,62,2980,3380,1240,0.0
1,CA 2,148,170,62,2960,3400,1240,28.284271247461902
2,CA 3,147,171,62,2940,3420,1240,56.568542494923804
3,CA 4,147,172,62,2940,3440,1240,76.5685424949238
4,CA 5,146,173,62,2920,3460,1240,104.8528137423857
5,CA 6,145,174,62,2900,3480,1240,133.1370849898476
6,CA 7,144,175,62,2880,3500,1240,161.4213562373095
7,CA 8,143,176,62,2860,3520,1240,189.7056274847714
8,CA 9,143,177,62,2860,3540,1240,209.7056274847714
9,CA 10,142,178,62,2840,3560,1240,237.9898987322333
10,CA 11,141,179,62,2820,3580,1240,266.2741699796952
11,CA 12,140,180,62,2800,3600,1240,294.5584412271571
12,CA 13,139,181,62,2780,3620,1240,322.842712474619
13,CA 14,138,182,62,2760,3640,1240,351.1269837220809
14,CA 15,137,183,62,2740,3660,1240,379.4112549695428
15,CA 16,136,184,62,2720,3680,1240,407.6955262170047
16,CA 17,135,185,62,2700,3700,1240,435.9797974644666
17,CA 18,134,186,62,2680,3720,1240,464.26406871192853
18,CA 19,133,187,62,2660,3740,1240,492.54833995939043
