,Unnamed: 0,x,y,z,x microns,y microns,z microns,distance microns
0,CA 1,423,173,74,8460,3460,1480,0.0
1,CA 2,424,174,74,8480,3480,1480,28.284271247461902
2,CA 3,425,175,74,8500,3500,1480,56.568542494923804
3,CA 4,426,176,74,8520,3520,1480,84.8528137423857
4,CA 5,427,177,74,8540,3540,1480,113.13708498984761
5,CA 6,427,178,74,8540,3560,1480,133.1370849898476
6,CA 7,428,179,74,8560,3580,1480,161.4213562373095
7,CA 8,428,180,74,8560,3600,1480,181.4213562373095
8,CA 9,429,181,74,8580,3620,1480,209.7056274847714
9,CA 10,430,182,74,8600,3640,1480,237.9898987322333
10,CA 11,431,183,74,8620,3660,1480,266.2741699796952
11,CA 12,432,184,74,8640,3680,1480,294.5584412271571
12,CA 13,433,185,74,8660,3700,1480,322.842712474619
13,CA 14,434,186,74,8680,3720,1480,351.1269837220809
14,CA 15,435,187,74,8700,3740,1480,379.4112549695428
15,CA 16,436,188,74,8720,3760,1480,407.6955262170047
16,CA 17,437,189,74,8740,3780,1480,435.9797974644666
17,CA 18,438,190,74,8760,3800,1480,464.26406871192853
18,CA 19,439,191,74,8780,3820,1480,492.54833995939043
