,Unnamed: 0,x,y,z,x microns,y microns,z microns,distance microns
0,CA 1,173,186,55,3460,3720,1100,0.0
1,CA 2,172,187,55,3440,3740,1100,28.284271247461902
2,CA 3,171,188,55,3420,3760,1100,56.568542494923804
3,CA 4,170,189,55,3400,3780,1100,84.8528137423857
4,CA 5,169,190,55,3380,3800,1100,113.13708498984761
5,CA 6,168,191,55,3360,3820,1100,141.4213562373095
6,CA 7,167,192,55,3340,3840,1100,169.7056274847714
7,CA 8,166,193,55,3320,3860,1100,197.9898987322333
8,CA 9,165,194,55,3300,3880,1100,226.27416997969522
9,CA 10,164,195,55,3280,3900,1100,254.55844122715712
10,CA 11,163,196,55,3260,3920,1100,282.842712474619
11,CA 12,162,197,55,3240,3940,1100,311.1269837220809
12,CA 13,161,198,55,3220,3960,1100,339.4112549695428
13,CA 14,160,199,55,3200,3980,1100,367.6955262170047
14,CA 15,159,200,55,3180,4000,1100,395.9797974644666
15,CA 16,158,201,55,3160,4020,1100,424.26406871192853
16,CA 17,157,202,55,3140,4040,1100,452.54833995939043
17,CA 18,156,203,55,3120,4060,1100,480.83261120685233
18,CA 19,155,204,55,3100,4080,1100,509.11688245431424
