Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (KO03_CISS),Image stdev (KO03_CISS),Image mean (KO03 [0]),Image stdev (KO03 [0]),Image mean (KO03 [1]),Image stdev (KO03 [1]),Image mean (KO03 [2]),Image stdev (KO03 [2]),Image mean (KO03 [3]),Image stdev (KO03 [3]),Image mean (KO03 [4]),Image stdev (KO03 [4]),Image mean (KO03 [5]),Image stdev (KO03 [5]),Image mean (KO03 [6]),Image stdev (KO03 [6]),Image mean (KO03 [7]),Image stdev (KO03 [7]),Image mean (KO03 [8]),Image stdev (KO03 [8]),Image mean (KO03 [9]),Image stdev (KO03 [9]),Image mean (KO03 [10]),Image stdev (KO03 [10]),Image mean (KO03 [11]),Image stdev (KO03 [11]),Image mean (KO03 [12]),Image stdev (KO03 [12]),Image mean (KO03 [13]),Image stdev (KO03 [13]),Image mean (KO03 [14]),Image stdev (KO03 [14]),Image mean (KO03 [15]),Image stdev (KO03 [15]),Image mean (KO03 [16]),Image stdev (KO03 [16]),Image mean (KO03 [17]),Image stdev (KO03 [17]),Image mean (KO03 [18]),Image stdev (KO03 [18]),Image mean (KO03 [19]),Image stdev (KO03 [19]),Image mean (KO03 [20]),Image stdev (KO03 [20]),Image mean (KO03 [21]),Image stdev (KO03 [21]),Image mean (KO03 [22]),Image stdev (KO03 [22]),Image mean (KO03 [23]),Image stdev (KO03 [23]),Image mean (KO03 [24]),Image stdev (KO03 [24]),Image mean (KO03 [25]),Image stdev (KO03 [25]),Image mean (KO03 [26]),Image stdev (KO03 [26]),Image mean (KO03 [27]),Image stdev (KO03 [27]),Image mean (KO03 [28]),Image stdev (KO03 [28]),Image mean (KO03 [29]),Image stdev (KO03 [29]),Image mean (KO03 [30]),Image stdev (KO03 [30]),Image mean (KO03 [31]),Image stdev (KO03 [31]),Image mean (KO03 [32]),Image stdev (KO03 [32]),Image mean (KO03 [33]),Image stdev (KO03 [33]),Image mean (KO03 [34]),Image stdev (KO03 [34]),Image mean (KO03 [35]),Image stdev (KO03 [35]),Image mean (KO03 [36]),Image stdev (KO03 [36]),Image mean (KO03 [37]),Image stdev (KO03 [37]),Image mean (KO03 [38]),Image stdev (KO03 [38]),Image mean (KO03 [39]),Image stdev (KO03 [39]),Image mean (KO03 [40]),Image stdev (KO03 [40]),Image mean (KO03 [41]),Image stdev (KO03 [41]),Image mean (KO03 [42]),Image stdev (KO03 [42]),Image mean (KO03 [43]),Image stdev (KO03 [43]),Image mean (KO03 [44]),Image stdev (KO03 [44]),Image mean (KO03 [45]),Image stdev (KO03 [45]),Image mean (KO03 [46]),Image stdev (KO03 [46]),Image mean (KO03 [47]),Image stdev (KO03 [47]),Image mean (KO03 [48]),Image stdev (KO03 [48]),Image mean (KO03 [49]),Image stdev (KO03 [49]),Image mean (KO03 [50]),Image stdev (KO03 [50]),Image mean (KO03 [51]),Image stdev (KO03 [51]),Image mean (KO03 [52]),Image stdev (KO03 [52]),Image mean (KO03 [53]),Image stdev (KO03 [53]),Image mean (KO03 [54]),Image stdev (KO03 [54]),Image mean (KO03 [55]),Image stdev (KO03 [55]),Image mean (KO03 [56]),Image stdev (KO03 [56]),Image mean (KO03 [57]),Image stdev (KO03 [57]),Image mean (KO03 [58]),Image stdev (KO03 [58]),Image mean (KO03 [59]),Image stdev (KO03 [59]),Image mean (KO03 [60]),Image stdev (KO03 [60]),Image mean (KO03 [61]),Image stdev (KO03 [61]),Image mean (KO03 [62]),Image stdev (KO03 [62]),Image mean (KO03 [63]),Image stdev (KO03 [63]),Image mean (KO03 [64]),Image stdev (KO03 [64]),Image mean (KO03 [65]),Image stdev (KO03 [65]),Image mean (KO03 [66]),Image stdev (KO03 [66]),Image mean (KO03 [67]),Image stdev (KO03 [67]),Image mean (KO03 [68]),Image stdev (KO03 [68]),Image mean (KO03 [69]),Image stdev (KO03 [69]),Image mean (KO03 [70]),Image stdev (KO03 [70]),Image mean (KO03 [71]),Image stdev (KO03 [71]),Image mean (KO03 [72]),Image stdev (KO03 [72]),Image mean (KO03 [73]),Image stdev (KO03 [73]),Image mean (KO03 [74]),Image stdev (KO03 [74]),Image mean (KO03 [75]),Image stdev (KO03 [75]),Image mean (KO03 [76]),Image stdev (KO03 [76]),Image mean (KO03 [77]),Image stdev (KO03 [77]),Image mean (KO03 [78]),Image stdev (KO03 [78]),Image mean (KO03 [79]),Image stdev (KO03 [79]),Image mean (KO03 [80]),Image stdev (KO03 [80]),Image mean (KO03 [81]),Image stdev (KO03 [81]),Image mean (KO03 [82]),Image stdev (KO03 [82]),Image mean (KO03 [83]),Image stdev (KO03 [83]),Image mean (KO03 [84]),Image stdev (KO03 [84]),Image mean (KO03 [85]),Image stdev (KO03 [85]),Image mean (KO03 [86]),Image stdev (KO03 [86]),Image mean (KO03 [87]),Image stdev (KO03 [87]),Image mean (KO03 [88]),Image stdev (KO03 [88]),Image mean (KO03 [89]),Image stdev (KO03 [89]),Image mean (KO03 [90]),Image stdev (KO03 [90]),Image mean (KO03 [91]),Image stdev (KO03 [91]),Image mean (KO03 [92]),Image stdev (KO03 [92])
0,Clear Label,3142472,3142.47,0.124896,0.104879,6.96242,5.56833,6.80504,5.54547,6.77851,5.70991,10.8345,9.6651,11.0652,10.3999,11.5223,12.9182,12.2742,14.4312,12.5807,16.6001,13.3797,18.9097,14.2577,20.8429,14.584,22.1559,15.3919,23.6933,16.1423,25.3544,17.4672,27.1627,17.9609,28.569,19.4639,30.5074,19.9359,31.6026,20.5536,32.7385,20.8222,33.2687,21.0827,33.911,20.5681,34.0237,20.7661,34.3451,20.9642,34.5738,21.1676,34.6941,21.695,35.1345,21.7,35.1777,21.6599,35.0561,21.9381,35.1088,21.8336,34.8357,21.3119,34.6336,21.2565,34.3009,21.6045,34.4707,20.8865,33.7291,21.2908,33.939,20.9149,33.4765,21.1579,33.2299,20.7302,33.0101,20.6692,32.7164,20.6904,32.53,20.6167,32.2676,21.137,32.9171,20.5433,32.3063,20.586,32.2812,20.6466,31.8656,20.1578,31.47,20.6423,31.8283,20.5711,31.6656,20.7063,31.0754,20.7603,31.5023,20.7038,31.3494,20.4094,30.9433,20.7921,30.9065,20.8149,30.5333,20.3833,30.6408,20.9631,30.5906,20.6462,30.5605,20.4408,30.4226,20.7617,30.4721,20.6168,30.4302,20.6124,30.4084,20.5389,30.3302,20.7652,30.4191,20.4996,30.12,20.6816,30.5579,20.3736,29.9798,20.2344,29.9644,20.4056,29.7919,20.5066,29.8873,20.341,29.8016,20.574,29.8845,20.3767,29.7422,20.4953,29.7105,20.6917,29.7726,20.517,29.7086,20.5206,29.7118,20.6133,29.7749,20.5617,29.7453,20.5532,29.847,20.8742,30.011,21.0533,30.2786,20.9331,30.0453,20.9387,30.0086,20.9353,29.9576,21.0629,30.005,21.0056,30.1894,21.0974,30.1498,21.033,29.9481,21.1512,29.8436,21.1103,29.9062,21.4278,30.0532,21.2271,30.0216,21.2399,29.949,21.2472,29.9596
1,CM,723,0.723,0.27398,0.0502983,4.3505,2.55502,4.23671,3.00029,3.98149,2.17351,12.531,13.5524,187.688,144.997,281.441,211.161,178.874,128.189,187.458,130.66,192.779,132.263,198.358,127.647,203.344,126.258,214.036,130.46,223.002,131.38,234.67,140.208,249.05,143.815,257.735,150.155,284.996,160.033,341.207,185.235,380.048,205.697,413.721,218.011,421.294,214.912,439.575,227.305,442.141,222.804,449.917,225.23,460.23,225.438,465.498,227.284,468.304,229.243,465.112,224.255,464.799,228.053,458.605,225.898,448.823,221.442,453.202,226.605,438.132,217.633,436.426,217.113,418.928,209.765,418.23,210.753,402.573,198.172,394.571,191.709,397.101,193.046,385.687,185.811,389.909,186.851,377.442,180.891,377.338,182.469,378.673,186.197,369.732,179.53,377.344,185.824,374.223,186.013,360.414,179.885,368.65,186.079,372.607,187.067,367.837,183.129,368.666,186.217,363.11,182.548,372.559,180.521,374.963,184.495,383.728,190.195,383.76,193.37,381.676,191.318,382.025,193.548,376.578,188.64,374.936,189.938,376.239,190.986,368.639,184.601,367.078,184.733,363.354,184.071,357.5,180.162,355.531,178.765,357.361,178.765,353.537,178.625,349.128,175.208,355.382,179.021,351.429,174.495,351.117,177.098,357.563,176.359,358.373,177.879,354.468,175.682,354.728,176.792,354.831,174.863,354.92,176.017,351.278,174.39,354.063,171.432,347.442,168.528,348.307,166.974,342.159,163.223,342.325,162.38,333.113,159.129,331.935,157.635,325.151,153.533,318.709,148.462,319.589,147.015,315.104,145.719,314.634,144.621,307.555,139.84
2,Outside cochlear aqueduct 1,47,0.047,0.153489,0.0775797,9.06533,4.48396,9.77475,4.6168,4.23609,3.19874,11.1871,5.83366,13.9506,5.68129,192.864,87.2465,261.912,99.1164,207.877,80.8251,212.379,79.4557,247.27,87.6718,230.16,87.4334,233.443,88.0846,221.133,72.1766,224.374,68.6294,224.648,69.0455,222.003,63.9594,262.374,81.5279,289.523,83.3813,313.749,92.6633,336.909,93.5902,360.102,103,367.995,103.657,361.971,103.796,377.464,103.967,363.624,103.147,359.611,105.389,356.737,101.62,365.358,108.149,363.063,103.871,354.285,103.515,349.838,102.676,355.336,111.117,352.31,103.172,359.079,107.161,347.387,96.7371,347.991,95.106,341.419,99.325,346.193,101.243,344.417,97.324,340.698,98.7995,332.569,90.716,320.58,88.4543,335.614,90.9915,312.937,88.0913,319.639,88.8818,324.392,87.9425,323.282,88.9526,329.686,88.3774,313.828,88.6906,312.965,90.2806,312.882,88.6123,333.345,97.3153,332.107,91.2645,324.739,93.8307,328.733,95.402,328.142,91.5787,322.065,94.5814,324.421,92.9749,314.04,90.3758,315.694,89.0559,316.126,94.5534,308.735,85.3224,299.123,87.8659,302.48,86.9187,290.619,85.7948,301.846,84.1142,293.607,83.224,284.876,82.4933,293.875,87.1344,299.214,89.5464,297.916,87.0966,293.043,87.6993,302.971,87.382,303.409,91.1404,300.758,87.5943,296.481,91.9951,302.067,87.9402,303.367,88.3964,314.749,91.3566,308.091,87.1683,297.114,90.3086,287.301,81.9214,283.841,84.7991,294.89,85.6812,292.901,91.2166,298.319,83.5596,286.914,85.9916,283.165,79.7841,287.193,84.2348,277.635,84.5799,283.471,83.6538,268.843,81.4219,266.402,78.752
3,Cochlear aqueduct 1,18,0.018,0.061197,0.0213169,10.1951,5.09288,9.14105,5.25951,11.7299,6.93893,14.6617,8.94545,16.3173,10.9912,127.168,62.5275,282.647,97.4313,285.084,87.4668,286.571,78.2622,290.144,72.7413,302.605,70.1043,304.263,74.0416,312.24,66.7479,318.444,76.244,305.784,80.7877,327.616,81.7816,313.972,77.2137,308.471,63.6811,304.255,50.1191,308.283,55.6396,298.647,60.395,300.598,55.7504,268.199,53.2349,278.049,55.8493,267.567,52.011,262.738,54.3602,248.925,53.2389,263.086,54.1727,266.487,54.1058,261.765,53.2099,246.879,50.8635,262.695,54.9644,254.727,55.273,278.144,55.5162,260.66,47.5581,249.313,52.654,234.069,48.9553,244.649,53.0779,237.743,46.3087,238.758,53.5943,247.542,49.3454,234.626,48.7945,244.031,50.7262,221.032,42.3928,219.818,48.0167,233.052,49.2995,226.887,48.6035,215.439,53.4058,235.832,47.9041,215.253,44.436,216.701,44.0087,213.578,52.8912,222.491,48.4413,218.252,44.5789,216.678,46.9446,217.007,45.9149,225.074,43.6793,228.81,50.2545,220.588,45.6415,212.38,48.4566,214.064,46.0077,217.111,47.3454,207.787,50.0034,218.07,48.113,195.923,47.9021,212.035,48.0964,211.354,50.3743,204.105,45.1981,200.313,50.592,203.599,53.0442,205.123,49.9452,199.799,50.6539,205.82,49.2168,204.968,51.4295,205.055,50.1748,198.402,45.647,205.735,47.3913,196.524,51.1334,216.141,51.9676,203.74,54.0521,193.39,49.4066,209.176,50.276,206.413,45.8928,193.322,47.8214,189.91,48.7829,198.961,47.2298,190.666,48.3466,204.144,49.5268,193.176,53.2335,191.802,47.9097,182.152,53.4835,182.2,47.6295,176.139,46.4966
4,Cochlea 1,1010,1.01,0.209584,0.0401458,5.96775,3.18285,5.72378,3.13167,5.04755,2.84048,7.34066,4.41912,7.50116,4.25855,10.6077,6.93322,12.032,13.3683,17.6871,29.3564,25.4093,45.1103,31.2434,58.6334,35.1418,67.7493,41.1352,77.2647,46.2856,84.0496,57.011,93.3472,57.2702,97.7548,66.1208,107.721,65.8722,109.974,71.9395,113.911,78.1144,116.209,84.5988,120.967,83.8635,120.639,85.5852,120.805,88.6726,121.151,91.0382,119.968,93.8041,118.591,96.7297,119.26,95.377,118.442,100.057,119.342,101.868,118.47,101.551,117.464,102.801,113.854,106.034,115.022,105.054,111.571,108.77,114.059,109.798,110.752,110.344,111.997,113.064,111.506,113.407,111.045,114.408,109.592,118.312,108.403,117.507,108.53,116.206,104.719,121.503,107.089,116.382,103.644,121.018,104.102,123.059,105.056,125.362,105.163,128.888,104.631,126.804,103.872,124.306,101.753,123.42,98.7231,132.642,102.235,126.927,99.2871,128.077,98.7593,128.622,98.897,130.058,98.4372,130.036,97.14,131.653,97.0335,129.205,97.8033,129.437,94.5582,131.741,96.909,131.562,95.334,131.821,94.6077,130.73,94.0129,130.444,92.136,133.613,93.8846,133.354,93.3042,131.649,91.2909,135.719,93.2284,138.306,92.3074,136.341,91.056,136.271,91.0208,135.844,88.443,134.196,89.9982,134.741,88.1964,136.556,87.5708,136.439,89.2231,137.344,87.2949,142.52,90.4484,141.583,88.6659,137.58,86.2931,139.778,89.0951,138.243,86.4379,140.962,87.6694,142.18,88.1733,141.767,88.7852,141.437,88.4827,139.294,86.4551,142.181,86.3725,142.975,87.6126,139.118,84.7413,140.376,85.2027,142.669,86.1546
5,Outside cochlear aqueduct 2,67,0.067,0.150006,0.0544172,7.46483,4.1702,4.79531,3.60496,6.4748,3.03695,8.77278,7.53307,47.1911,26.8091,180.285,68.0693,139.979,57.4499,132.838,50.7938,123.912,43.2296,128.077,39.266,126.401,39.9715,135.635,44.3087,133.912,41.1819,128.614,40.0091,131.165,42.0224,127.048,35.9242,119.291,38.308,171.287,57.2258,231.137,90.5418,300.68,132.785,321.886,128.621,330.658,118.257,322.151,113.959,319.869,112.934,298.078,108.815,305.204,113.576,292.022,100.65,300.106,103.088,286.989,99.1532,257.686,89.4302,247.605,84.9526,243.476,84.6714,228.39,80.958,234.094,81.8065,198.144,66.4632,223.357,76.5366,200.89,67.8491,202.524,75.7948,196.345,72.2987,200.644,70.8667,215.494,72.4074,196.285,70.2706,201.708,71.8981,186.88,65.9513,180.849,65.1456,200.754,68.377,186.926,69.2093,181.472,65.8396,189.607,66.7269,173.109,59.5099,155.087,52.1751,168.826,56.7196,152.696,54.6846,164.882,61.0303,178.697,65.6416,183.016,65.2739,195.949,72.8435,202.714,77.421,202.779,75.8329,193.657,74.0276,207.682,79.2658,204.967,76.7593,197.355,76.1615,205.919,72.9024,191.688,71.5124,193.877,71.7004,187.389,65.7743,178.571,63.5028,190.671,70.7687,192.497,66.6926,178.492,65.8148,182.899,66.4717,178.178,61.9505,182.46,64.5212,182.933,67.1956,176.954,63.7851,185.339,66.0814,180.378,64.5197,187.772,65.6112,169.109,60.9729,171.685,60.3327,179.54,61.9947,165.599,57.2954,159.671,55.1352,152.985,52.5331,153.023,51.4467,153.871,50.3247,135.222,45.859,136.296,46.9265,136.431,47.4061,132.816,42.5465,133.828,44.6844,131.124,42.3195
6,Cochlear aqueduct 2,42,0.042,0.0908568,0.0528661,10.8926,4.37662,7.93638,3.90219,10.9746,4.10545,14.0272,8.36978,23.208,15.4492,240.546,120.966,327.879,157.712,321.553,147.865,309.433,145.27,318.092,137.987,305.842,134.395,301.31,131.696,305.031,128.195,309.238,126.333,300.938,128.334,309.58,124.56,286.571,118.617,279.073,112.013,284.045,99.4409,285.318,92.9335,302.398,101.56,291.741,98.1802,277.777,93.1098,280.916,92.5463,263.036,86.7543,260.49,84.9356,260.811,83.6338,249.627,79.3599,240.379,77.5298,231.354,76.1367,218.25,71.0252,222.341,71.4652,211.749,65.812,206.81,64.7919,197.052,61.9208,199.5,61.9666,198.874,62.6948,189.708,60.8627,198.397,61.3155,189.076,58.3898,198.314,58.0849,189.103,56.2438,186.955,56.6021,180.601,56.1502,180.232,57.089,181.625,56.0139,174.96,52.4712,176.339,52.9994,168.785,55.5075,162.68,52.4546,154.265,51.0484,152.823,47.451,153.269,52.0582,164.464,54.3917,164.568,57.9525,171.639,56.921,183.164,58.975,188.659,61.2004,190.78,62.4391,181.954,60.8379,188.262,62.4038,186.665,60.8525,177.813,58.8755,174.66,58.0805,171.503,57.5792,174.972,57.7738,168.877,54.3576,165.571,56.3743,168.953,56.7541,162.26,55.1347,160.997,51.1053,160.15,52.2783,155.463,52.6607,162.878,56.8364,163.093,52.9068,154.523,54.0009,149.931,54.9883,170.273,52.5748,159.308,51.3263,158.061,51.5334,150.735,49.6758,150.957,51.3633,139.994,47.8271,147.408,49.4677,134.744,45.2338,130.432,45.037,132.005,44.2312,122.492,44.37,126.507,43.6559,125.611,41.8827,131.849,41.6403,122.198,40.3498,122.059,40.1961
7,Cochlea 2,1349,1.349,0.245525,0.0670419,4.99635,2.51257,5.11843,2.88753,4.61959,2.68614,7.73762,4.75424,7.0745,3.79518,8.07026,6.56688,14.354,27.1188,24.813,54.6153,37.2243,74.3035,48.0878,89.2565,57.7747,104.776,67.5507,112.839,76.5961,123.711,84.5655,128.334,92.6454,140.464,99.4532,141.008,103.801,146.278,108.528,148.39,118.018,155.156,119.64,153.282,121.772,153.36,125.957,153.275,127.944,154.419,132.101,152.49,134.217,150.736,139.692,148.012,139.967,145.935,143.543,147.035,147.615,145.622,145.358,142.141,145.486,137.488,147.276,136.485,148.146,134.967,149.315,133.796,149.906,129.93,155.568,131.447,152.951,128.112,154.725,126.028,154.291,124.424,158.347,124.541,157.716,122.251,158.658,119.036,159.659,120.696,160.164,118.416,158.321,114.056,160.04,113.996,161.544,115.02,163.797,117.766,161.923,113.998,161.146,109.843,161.606,109.551,164.519,111.547,162.792,107.835,161.465,107.008,161.294,105.33,162.141,105.592,161.664,103.262,159.941,101.983,161.774,102.513,160.543,101.468,162.981,102.436,161.135,100.019,162.096,100.777,161.63,100.336,160.767,97.0963,161.966,97.0913,162.924,97.1062,159.282,96.0551,162.307,98.1435,161.989,97.7827,160.448,95.2154,162.35,96.1891,159.896,95.0627,159.929,94.224,160.382,94.8843,160.602,93.7166,160.825,93.3937,160.433,92.0596,160.693,93.4734,160.869,92.7431,159.882,91.4367,161.038,92.4673,161.007,91.6375,159.26,90.0012,159.261,90.3076,160.404,91.3769,160.034,89.8521,158.553,90.0177,157.37,88.8106,157.201,89.3228,157.528,86.6147,157.224,86.2506,158.752,87.6852
