Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (WT05_CISS),Image stdev (WT05_CISS),Image mean (WT05 [0]),Image stdev (WT05 [0]),Image mean (WT05 [1]),Image stdev (WT05 [1]),Image mean (WT05 [2]),Image stdev (WT05 [2]),Image mean (WT05 [3]),Image stdev (WT05 [3]),Image mean (WT05 [4]),Image stdev (WT05 [4]),Image mean (WT05 [5]),Image stdev (WT05 [5]),Image mean (WT05 [6]),Image stdev (WT05 [6]),Image mean (WT05 [7]),Image stdev (WT05 [7]),Image mean (WT05 [8]),Image stdev (WT05 [8]),Image mean (WT05 [9]),Image stdev (WT05 [9]),Image mean (WT05 [10]),Image stdev (WT05 [10]),Image mean (WT05 [11]),Image stdev (WT05 [11]),Image mean (WT05 [12]),Image stdev (WT05 [12]),Image mean (WT05 [13]),Image stdev (WT05 [13]),Image mean (WT05 [14]),Image stdev (WT05 [14]),Image mean (WT05 [15]),Image stdev (WT05 [15]),Image mean (WT05 [16]),Image stdev (WT05 [16]),Image mean (WT05 [17]),Image stdev (WT05 [17]),Image mean (WT05 [18]),Image stdev (WT05 [18]),Image mean (WT05 [19]),Image stdev (WT05 [19]),Image mean (WT05 [20]),Image stdev (WT05 [20]),Image mean (WT05 [21]),Image stdev (WT05 [21]),Image mean (WT05 [22]),Image stdev (WT05 [22]),Image mean (WT05 [23]),Image stdev (WT05 [23]),Image mean (WT05 [24]),Image stdev (WT05 [24]),Image mean (WT05 [25]),Image stdev (WT05 [25]),Image mean (WT05 [26]),Image stdev (WT05 [26]),Image mean (WT05 [27]),Image stdev (WT05 [27]),Image mean (WT05 [28]),Image stdev (WT05 [28]),Image mean (WT05 [29]),Image stdev (WT05 [29]),Image mean (WT05 [30]),Image stdev (WT05 [30]),Image mean (WT05 [31]),Image stdev (WT05 [31]),Image mean (WT05 [32]),Image stdev (WT05 [32]),Image mean (WT05 [33]),Image stdev (WT05 [33]),Image mean (WT05 [34]),Image stdev (WT05 [34]),Image mean (WT05 [35]),Image stdev (WT05 [35]),Image mean (WT05 [36]),Image stdev (WT05 [36]),Image mean (WT05 [37]),Image stdev (WT05 [37]),Image mean (WT05 [38]),Image stdev (WT05 [38]),Image mean (WT05 [39]),Image stdev (WT05 [39]),Image mean (WT05 [40]),Image stdev (WT05 [40]),Image mean (WT05 [41]),Image stdev (WT05 [41]),Image mean (WT05 [42]),Image stdev (WT05 [42]),Image mean (WT05 [43]),Image stdev (WT05 [43]),Image mean (WT05 [44]),Image stdev (WT05 [44]),Image mean (WT05 [45]),Image stdev (WT05 [45]),Image mean (WT05 [46]),Image stdev (WT05 [46]),Image mean (WT05 [47]),Image stdev (WT05 [47]),Image mean (WT05 [48]),Image stdev (WT05 [48]),Image mean (WT05 [49]),Image stdev (WT05 [49]),Image mean (WT05 [50]),Image stdev (WT05 [50]),Image mean (WT05 [51]),Image stdev (WT05 [51]),Image mean (WT05 [52]),Image stdev (WT05 [52]),Image mean (WT05 [53]),Image stdev (WT05 [53]),Image mean (WT05 [54]),Image stdev (WT05 [54]),Image mean (WT05 [55]),Image stdev (WT05 [55]),Image mean (WT05 [56]),Image stdev (WT05 [56]),Image mean (WT05 [57]),Image stdev (WT05 [57]),Image mean (WT05 [58]),Image stdev (WT05 [58]),Image mean (WT05 [59]),Image stdev (WT05 [59]),Image mean (WT05 [60]),Image stdev (WT05 [60]),Image mean (WT05 [61]),Image stdev (WT05 [61]),Image mean (WT05 [62]),Image stdev (WT05 [62]),Image mean (WT05 [63]),Image stdev (WT05 [63]),Image mean (WT05 [64]),Image stdev (WT05 [64]),Image mean (WT05 [65]),Image stdev (WT05 [65]),Image mean (WT05 [66]),Image stdev (WT05 [66]),Image mean (WT05 [67]),Image stdev (WT05 [67]),Image mean (WT05 [68]),Image stdev (WT05 [68]),Image mean (WT05 [69]),Image stdev (WT05 [69]),Image mean (WT05 [70]),Image stdev (WT05 [70]),Image mean (WT05 [71]),Image stdev (WT05 [71]),Image mean (WT05 [72]),Image stdev (WT05 [72]),Image mean (WT05 [73]),Image stdev (WT05 [73]),Image mean (WT05 [74]),Image stdev (WT05 [74]),Image mean (WT05 [75]),Image stdev (WT05 [75]),Image mean (WT05 [76]),Image stdev (WT05 [76]),Image mean (WT05 [77]),Image stdev (WT05 [77]),Image mean (WT05 [78]),Image stdev (WT05 [78]),Image mean (WT05 [79]),Image stdev (WT05 [79]),Image mean (WT05 [80]),Image stdev (WT05 [80]),Image mean (WT05 [81]),Image stdev (WT05 [81]),Image mean (WT05 [82]),Image stdev (WT05 [82]),Image mean (WT05 [83]),Image stdev (WT05 [83]),Image mean (WT05 [84]),Image stdev (WT05 [84]),Image mean (WT05 [85]),Image stdev (WT05 [85]),Image mean (WT05 [86]),Image stdev (WT05 [86]),Image mean (WT05 [87]),Image stdev (WT05 [87]),Image mean (WT05 [88]),Image stdev (WT05 [88]),Image mean (WT05 [89]),Image stdev (WT05 [89]),Image mean (WT05 [90]),Image stdev (WT05 [90]),Image mean (WT05 [91]),Image stdev (WT05 [91]),Image mean (WT05 [92]),Image stdev (WT05 [92])
0,Clear Label,3139050,3139.05,0.123326,0.111613,2.80168,3.75356,2.79806,3.7186,2.76437,3.76522,3.82465,5.5243,3.84766,5.64871,4.19983,7.55518,4.64446,10.5791,5.23671,13.3371,5.66195,15.6717,6.0073,17.644,6.32912,19.1712,7.22327,20.701,7.50244,22.019,8.08758,23.3836,8.83516,24.897,9.41323,26.1357,9.84198,27.0695,10.5122,28.1566,11.1543,29.2807,11.8021,30.2677,13.4521,31.5502,14.6825,33.0334,15.0346,33.8929,15.8587,34.9679,15.6923,35.2984,16.5651,36.3503,17.2252,37.269,18.098,38.2211,17.3625,38.4192,17.5188,39.2388,17.9633,39.6576,17.9731,40.0889,17.9887,40.5098,18.2848,40.5983,18.4642,41.0429,18.8104,41.1424,17.9815,41.2384,18.852,41.1165,18.5578,41.2011,18.0013,40.8438,18.7273,40.9648,18.0381,40.8418,17.8591,40.2408,17.739,39.9211,17.9358,39.9447,17.9178,39.4158,18.1015,39.5294,17.8138,39.2897,17.5639,38.4938,18.1178,38.5001,17.9661,38.0367,17.6885,37.7257,18.0818,37.6598,17.4905,37.2609,17.4503,36.7324,17.9668,37.1088,17.5991,36.2818,17.7125,36.6329,17.3795,35.8383,18.1977,36.4934,17.4945,35.7137,18.1235,35.8098,17.0989,34.9505,17.9882,35.6105,18.4013,35.7268,17.6513,34.9867,17.6551,35.0818,17.2129,34.4583,17.2879,34.1598,17.2124,34.0722,17.2867,33.7544,16.967,33.589,16.3485,32.9961,16.6487,33.0763,16.555,32.8757,16.2779,32.5081,16.1406,32.1901,16.7761,32.747,16.9085,32.8529,17.3893,32.4596,16.7684,31.9951,16.9229,31.8487,17.0312,31.6835,16.0578,31.2731,16.712,31.6009,16.722,31.4141,16.2131,30.9805,16.9735,31.651,16.1196,30.662,16.525,31.0678,16.9012,30.8533,16.8854,30.7971,16.2626,30.3422
1,CM,3299,3.299,0.380643,0.138726,2.03164,2.66642,2.55223,3.03144,3.32232,3.92506,4.43373,5.6955,6.55722,9.6933,121.336,104.156,197.877,148.117,186.541,131.714,182.635,124.223,178.935,119.929,180.604,114.889,179.475,112.848,179.558,109.539,181.43,112.686,179.365,113.466,189.533,116.778,225.96,122.953,278.036,146.165,319.514,159.229,348.127,170.1,386.183,181.726,430.599,193.799,443.008,196.208,445.033,194.939,439.631,192.746,448.345,195.859,447.45,193.595,442.928,194.687,432.338,188.333,422.387,184.044,406.35,175.078,395.365,169.882,385.643,166.112,373.655,161.675,366.025,157.66,352.473,150.469,341.014,148.012,337.341,146.974,337.11,143.903,318.077,137.775,310.124,133.534,308.062,132.781,304.764,132.92,298.692,129.751,298.581,126.246,288.604,124.899,290.468,125.509,285.789,122.17,276.341,121.263,278.894,121.859,279.756,123.05,273.553,121.208,275.561,120.534,267.313,118.067,261.598,118.456,261.199,117.526,256.787,114.983,253.798,115.192,248.286,111.877,247.615,112.346,245.824,109.619,238.456,104.601,237.47,105.529,233.344,104.704,227.594,101.034,228.826,100.603,228.527,101.237,226.919,99.0757,225.723,100.447,220.757,96.9071,223.689,99.0454,213.521,93.4236,211.125,92.6851,210.454,94.4074,209.971,93.8358,203.346,87.8931,203.103,90.2241,209.267,93.1289,211.122,94.6138,198.686,84.0942,200.747,90.4483,197.609,84.0013,192.799,83.2267,193.526,87.5852,208.495,87.5218,196.17,85.7011,200.094,90.8534,194.863,85.8981,194.808,88.3508,202.426,91.5547,199.874,85.5039,193.72,83.3763,189.681,81.6599
2,Outside cochlear aqueduct 1,67,0.067,0.29103,0.141666,1.31858,1.32807,3.23693,2.39833,1.70888,1.81682,2.35461,3.09285,3.6619,4.19612,154.728,59.7876,130.838,70.2027,87.9812,67.3686,73.8693,63.7256,66.859,64.4307,64.698,67.5589,63.4887,61.9801,63.3026,65.848,57.1889,61.4332,58.1752,60.3948,57.6681,55.5127,71.6857,57.3565,102.166,63.5833,138.432,71.1822,163.77,82.0697,199.548,90.0644,182.817,90.9616,205.469,89.7363,213.686,88.9795,229.813,93.7818,238.644,94.7382,264.797,93.6524,293.655,99.8843,307.681,93.9867,340.864,97.5909,354.746,90.1335,380.574,86.8302,394.037,80.6006,394.743,73.8762,393.925,69.9023,396.096,70.5517,382.144,68.8182,377.197,67.5787,366.384,68.426,352.723,64.1614,356.437,64.2169,338.327,65.4661,333.954,69.2639,339.431,64.5863,333.363,63.0629,304.627,58.1477,303.355,60.6001,284.987,56.8461,277.54,56.1245,275.35,52.801,294.092,61.4464,283.998,60.6367,289.214,61.671,272.711,52.8415,275.372,54.1725,292.914,55.955,286.808,58.0528,282.496,55.1613,275.499,58.9311,287.702,55.3112,292.952,59.2838,305.966,60.6697,289.673,60.4968,298.425,59.992,308.723,61.6565,294.443,59.5199,291.439,57.3644,301.992,65.0895,290.773,68.0574,290.908,62.23,295.51,71.3367,293.624,62.2474,302.809,72.7667,302.914,63.8124,299.966,64.6803,302.83,66.4144,301.937,65.8617,293.138,65.5282,300.056,67.6481,303.149,59.5036,280.407,68.1945,309.386,71.0522,304.244,67.8824,277.872,59.5744,281.847,63.7356,290.871,69.6362,288.512,66.3734,302.531,64.3062,280.303,63.4769,290.574,65.0625,289.269,69.2238,296.976,65.808,286.706,70.5261
3,Cochlear aqueduct 1,12,0.012,0.121738,0.0706419,3.34029,2.96425,2.23387,2.29917,2.93642,2.05771,3.80725,3.68468,6.30616,3.38372,40.5378,27.2586,152.387,47.9052,87.7856,40.5643,77.3609,38.2747,63.293,37.0291,56.5998,31.8142,56.1328,33.5477,54.408,26.8365,59.1407,42.8652,59.7844,38.454,66.9404,38.3967,72.2915,43.9021,85.9261,50.231,112.245,39.5022,123.204,37.9452,135.454,26.1711,137.082,34.1894,154.633,31.7831,153.531,36.8825,145.29,33.8851,163.333,35.8073,156.009,39.3309,172.681,43.6801,174.477,43.8997,203.943,53.3946,186.404,53.5399,205.449,54.4606,204.855,64.8124,207.081,70.5119,211.877,62.9827,206.147,75.3092,203.476,67.6168,208.175,61.7725,203.341,57.294,202.967,57.8244,202.866,58.7532,205.377,53.2879,190.804,55.9297,194.17,62.6501,190.628,58.5178,187.451,53.6033,181.427,58.4053,178.701,48.5146,172.576,51.4137,184.549,46.2579,185.605,53.7068,188.937,48.6854,187.805,52.0407,176.77,42.5117,183.299,47.4716,194.178,49.7151,195.213,49.4298,196.795,50.0957,173.48,49.6067,198.734,52.5469,188.44,47.1417,196.74,52.3307,186.829,48.0844,190.712,51.1659,197.443,50.7413,188.217,52.8026,204.489,44.2511,189.904,52.2996,188.129,41.9305,193.358,54.3189,187.393,53.3221,189.26,52.7802,192.765,59.3448,193.413,56.5406,189.925,56.0744,182.988,58.7264,189.69,58.3737,184.17,59.8813,188.545,53.3665,192.55,61.1659,181.389,51.7698,195.474,61.178,196.156,61.161,174.137,49.1598,175.352,45.6905,185.512,55.7606,174.877,52.8264,175.605,58.0192,180.22,50.5041,180.005,50.0572,177.111,57.0973,179.812,62.5641,184.078,54.4246
4,Cochlea 1,1732,1.732,0.371961,0.158233,2.45221,2.76333,3.05667,3.0692,2.0758,2.35156,3.39122,4.15524,2.33763,3.21565,4.65408,5.73554,11.4728,30.5296,22.515,52.8904,34.9509,77.2305,46.1594,93.1504,58.7909,106.784,67.2244,112.351,75.4034,118.599,81.522,122.331,88.5654,124.945,96.8228,128.874,103.503,133.061,114.712,138.743,122.358,140.004,131.205,141.727,139.697,142.294,149.198,142.067,155.782,141.868,162.839,142.638,171.789,141.346,178.206,141.654,182.49,139.973,191.645,141.818,194.076,139.787,199.198,141.514,201.86,139.796,204.839,140.673,208.199,139.424,210.633,136.465,212.748,137.669,216.678,137.166,214.486,136.566,220.519,133.98,218.106,134.931,217.397,133.264,220.226,132.021,218.677,132.985,220.106,130.997,225.016,131.163,224.679,130.198,226.984,130.335,224.096,127.501,222.424,127.735,224.655,127.451,225.869,126.404,227.184,126.885,225.918,123.987,231.262,125.584,225.703,123.556,228.043,122.325,230.669,125.138,229.108,124.492,226.51,122.365,225.888,120.562,228.925,120.724,228.021,121.993,229.548,122.549,227.148,118.672,224.085,118.875,227.686,120.923,223.59,117.884,221.961,117.171,224.543,119.519,220.951,115.49,223.445,115.708,220.654,114.885,221.261,115.068,222.932,115.548,220.664,115.019,220.495,115.901,218.082,113.944,216.904,111.998,213.676,110.327,218.075,113.721,217.202,111.144,212.808,109.785,217.316,112.617,220.844,112.14,212.206,109.379,211.599,109.034,215.094,110.146,215.81,110.465,215.792,111.095,214.274,108.818,214.747,110.708,210.98,107.895,213.633,109.918,210.624,106.512
5,Outside cochlear aqueduct 2,43,0.043,0.244424,0.10528,1.29495,1.24936,4.2347,3.02479,1.57084,2.09811,2.89161,4.16114,3.65708,3.68555,39.9743,32.2162,355.104,107.959,312.13,138.914,229.789,107.012,184.306,89.6328,148.185,84.2654,123.523,70.3869,115.09,71.6604,109.253,65.2684,99.9339,57.5889,100.827,59.9318,166.462,92.7175,149.657,84.915,179.563,96.5649,209.31,110.407,216.94,116.44,228.045,120.81,224.297,114.368,227.521,115.673,231.685,115.496,245.709,120.684,258.583,120.259,269.135,126.99,273.655,125.059,289.353,126.013,306.387,122.573,321.473,120.17,342.927,112.156,358.35,114.696,371.021,108.106,385.576,107.368,388.374,107.898,396.035,105.788,392.56,105.114,384.908,97.989,389.667,96.8583,386.456,100.871,400.951,95.1615,406.814,101.626,418.069,111.902,414.209,107.379,420.443,108.115,410.586,98.5624,408.039,101.478,413.754,106.628,404.713,104.493,405.318,97.0026,400.164,101.169,407.395,97.7809,406.937,100.979,404.18,109.865,390.377,107.921,394.807,108.733,382.558,102.331,380.511,104.641,374.087,102.145,364.609,96.8132,363.989,93.5006,368.003,97.6824,365.716,101.708,354.903,95.3289,353.066,97.9222,343.407,96.6793,330.817,83.328,330.307,88.5301,324.966,85.286,319.535,87.2129,324.738,91.1926,320.884,93.5351,308.995,85.7022,297.304,82.8216,292.291,81.6263,291.734,82.0606,302.845,87.4959,297.49,88.1885,281.674,75.6707,292.725,84.9023,274.096,79.2022,279.633,80.6746,260.733,73.5231,269.492,73.8399,264.478,76.7684,268.216,80.053,268.056,74.1186,265.425,76.3063,247.795,64.4235,261.669,74.3129,254.481,74.5861
6,Cochlear aqueduct 2,8,0.008,0.0853518,0.0268062,2.34746,2.49601,2.00039,1.41015,1.71642,1.41532,1.24945,1.76592,3.64739,4.42754,16.306,5.78987,222.005,76.7687,182.288,25.9832,152.698,60.5295,109.441,45.7334,94.34,39.4223,71.5406,32.8548,56.7554,27.1757,48.4005,29.364,51.9469,28.0063,62.1886,38.243,71.1431,45.5005,82.9308,52.3595,111.309,52.9021,135.799,52.67,134.606,47.2641,164.202,48.2459,167.035,53.4917,155.267,55.6175,150.332,55.8024,153.146,56.885,168.626,58.7438,166.997,62.6586,168.032,59.5354,175.15,57.9528,190.377,64.0065,202.304,63.0155,203.225,57.7431,206.986,64.1642,222.156,66.3401,217.884,57.1234,207.573,60.3234,201.9,53.2623,197.628,44.2689,199.338,64.0408,199.868,49.3246,197.533,54.8211,204.872,39.0569,215.221,41.847,209.334,43.3866,221.689,45.2192,225.331,40.3,223.254,46.425,223.999,55.8451,225.015,41.6602,211.202,54.8978,236.008,54.3185,225.608,44.2869,216.521,42.2089,225.072,42.726,217.802,35.3259,219.31,42.9926,218.074,38.2879,213.215,53.301,217.594,39.2053,196.782,47.7087,213.953,39.4592,188.005,43.9236,197.83,36.7648,203.522,37.2617,193.886,42.7993,186.844,41.6003,191.33,47.7898,194.176,43.9658,185.79,43.8632,165.609,41.3663,185.26,41.595,175.378,44.5462,174.721,40.1962,164.991,37.9767,156.017,46.7895,167.149,54.9379,153.531,34.9743,177.637,38.7378,160.851,33.1699,151.19,44.9462,158.655,47.5924,150.357,31.8774,139.049,36.2717,148.609,45.9108,160.738,42.5087,134.158,41.5161,154.345,37.368,133.773,37.4946,157.772,43.2907,138.09,34.7527,139.857,41.7259,138.727,46.0043
7,Cochlea 2,1517,1.517,0.342548,0.132931,2.35955,2.42006,2.11143,2.41797,1.68693,2.12431,3.74039,4.13329,3.77763,4.38879,3.14784,3.85993,5.53928,8.21431,8.17461,16.6648,14.3493,36.7682,25.2206,58.8781,33.3246,75.4422,43.7156,90.8174,53.9984,102.854,63.4699,114.291,71.2547,125.6,80.6706,131.75,86.7334,136.328,93.7589,140.479,100.788,143.089,107.369,144.358,114.526,147.578,121.675,149.606,125.636,147.182,132.767,147.685,135.867,147.986,141.088,145.92,145.076,143.804,147.672,144.284,153.447,143.379,155.363,142.432,156.864,141.234,160.029,139.321,163.29,142.001,166.283,138.009,168.256,137.183,168.541,135.844,172.19,135.352,173.01,133.74,174.858,134.232,172.496,131.142,175.366,130.786,176.835,130.812,175.533,126.028,177.898,127.344,178.873,125.636,177.472,122.822,180.905,122.848,178.964,120.207,179.744,120.756,181.651,121.121,180.886,119.507,181.873,117.674,182.887,118.455,183.798,118.234,185.045,115.871,183.591,118.641,184.878,116.584,185.547,117.249,184.358,114.171,187.136,117.203,186.725,116.542,185.614,114.308,186.904,113.239,187.609,113.593,186.257,115.661,186.901,112.494,188.805,113.066,185.879,111.693,185.123,108.231,184.819,109.095,183.973,106.937,183.188,108.391,182.548,108.053,184.748,109.27,182.504,107.357,182.124,106.608,182.137,105.321,182.701,105.623,182.231,104.716,183.239,104.422,178.852,101.372,181.272,103.557,182.333,103.491,180.333,101.35,180.759,100.138,178.578,101.659,179.286,102.139,179.438,101.525,177.45,98.5989,176.873,98.662,177.674,98.5322,176.448,97.4912,174.132,97.5501
