time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.269553,0.180429,0.0733983,0.205754,0.0426737,0.0648178,0.0426523,0.0416981
-1.0,5.77299,6.18941,10.153,6.02808,2.9516,2.18848,3.38739,3.19242
0.0,4.42915,8.82033,8.6582,5.35943,2.57017,3.16292,3.04931,2.74159
1.0,3.91472,3.00361,6.44161,4.81533,3.32549,1.94514,3.52129,3.17288
2.0,20.2624,10.5927,11.4533,8.41841,24.8856,5.65223,4.71534,4.80131
3.0,206.865,150.948,56.3148,10.2883,119.154,47.1154,14.3017,7.26233
4.0,285.572,181.649,196.527,14.4131,149.561,58.0066,47.282,16.4279
5.0,276.294,149.222,162.149,23.3032,163.428,56.9587,54.7708,38.778
6.0,266.71,135.064,166.084,30.8337,158.347,46.2352,60.2205,59.0934
7.0,268.616,127.011,154.231,38.1668,155.583,43.3677,62.1765,72.8476
8.0,274.882,126.472,148.865,49.1162,152.363,40.2497,53.44,86.2362
9.0,278.078,135.057,145.724,55.1118,151.282,48.0788,49.152,93.5896
10.0,285.4,133.959,138.085,64.5439,149.543,46.4382,42.1754,104.419
11.0,293.628,129.634,136.052,70.3929,147.93,45.2242,49.1892,113.34
12.0,300.416,130.161,139.266,78.169,144.186,46.8128,46.2778,120.317
13.0,307.257,131.916,145.321,85.996,142.816,45.8514,42.6236,129.364
14.0,324.257,145.687,140.123,96.9502,151.194,34.9908,49.3283,138.206
15.0,406.015,207.873,152.742,105.335,168.464,59.6169,45.1583,140.813
16.0,483.457,249.671,176.467,108.294,182.741,59.0835,61.2793,143.48
17.0,498.418,290.414,188.999,117.782,171.199,58.6547,64.4743,148.453
18.0,528.515,300.544,204.185,123.259,175.503,59.5109,70.9504,152.482
19.0,549.101,303.759,205.415,130.512,176.33,60.417,67.8789,154.596
20.0,557.816,304.871,212.0,137.25,175.093,66.6246,69.9186,157.605
21.0,565.733,312.155,204.15,144.459,179.663,67.6622,62.9586,157.181
22.0,572.935,313.461,224.056,153.003,183.016,75.0784,71.479,159.518
23.0,575.836,328.26,238.68,160.338,187.5,81.8869,70.3342,158.075
24.0,578.067,339.383,239.659,162.858,188.554,86.3681,64.8504,160.078
25.0,580.576,353.519,255.494,167.073,189.245,91.9912,70.7362,156.248
26.0,582.148,363.503,248.349,171.123,191.648,86.1924,65.7378,157.557
27.0,584.723,378.05,263.447,177.696,188.047,91.344,60.3155,157.56
28.0,589.377,380.38,258.503,181.79,184.745,91.8201,67.4334,159.514
29.0,584.176,393.167,265.528,183.073,186.791,95.0744,62.6631,156.434
30.0,589.677,387.61,256.605,185.214,187.781,93.6967,60.1013,155.294
31.0,587.259,399.778,263.925,192.945,180.794,92.3918,54.7289,154.696
32.0,577.673,400.879,259.681,192.988,179.255,91.3846,56.4192,153.916
33.0,581.455,389.741,266.866,201.447,176.562,91.6081,56.0116,156.735
34.0,578.965,405.864,267.007,203.007,176.697,91.8729,55.8181,156.859
35.0,572.61,392.346,262.987,202.956,171.148,92.6705,57.3593,154.963
36.0,561.883,399.707,258.594,202.008,168.356,87.1284,54.4882,150.274
37.0,555.345,393.769,255.359,208.84,169.538,91.8943,52.7583,152.717
38.0,560.585,384.958,251.945,208.416,166.33,85.8805,52.4992,153.27
39.0,547.04,404.091,256.708,211.814,165.538,93.5802,48.266,149.996
40.0,533.482,397.54,263.314,217.383,161.068,87.372,56.9907,153.988
41.0,526.251,398.704,254.302,217.564,161.707,92.3325,51.5247,150.754
42.0,516.083,397.094,255.367,219.935,157.36,92.055,61.0747,151.134
43.0,518.365,400.491,252.85,221.218,158.906,94.4362,53.1634,150.764
44.0,510.572,399.388,254.05,224.245,157.93,88.9866,53.9806,149.062
45.0,508.726,388.251,246.849,222.004,161.011,93.0992,54.198,148.33
46.0,507.032,395.111,243.078,227.341,160.341,90.5338,57.504,150.088
47.0,494.195,398.425,242.054,226.518,152.668,92.9532,56.4004,147.658
48.0,504.586,378.906,243.559,225.585,155.009,92.6825,56.3574,147.42
49.0,492.23,396.365,246.263,231.792,150.558,91.4048,57.3884,148.71
50.0,478.467,389.269,237.475,230.458,150.045,89.4133,56.201,146.657
51.0,481.851,388.883,240.135,232.314,156.305,108.978,63.0054,148.53
52.0,473.425,388.129,240.524,234.973,147.859,90.2527,58.0726,147.413
53.0,473.445,374.999,232.92,234.044,146.002,96.1903,60.6706,148.481
54.0,465.4,389.937,235.701,234.988,141.907,90.9875,58.1659,145.435
55.0,451.982,381.44,232.155,234.036,144.529,85.9318,55.5661,144.365
56.0,455.519,367.525,235.153,233.767,143.272,94.3224,62.841,148.179
57.0,438.142,383.568,234.08,237.516,141.456,94.2191,58.3815,143.984
58.0,440.27,371.1,230.265,236.627,136.932,83.3283,61.6085,142.672
59.0,433.259,373.865,225.916,235.808,134.952,87.3606,59.8195,143.778
60.0,424.468,369.242,217.49,236.441,130.72,84.0372,60.4275,140.81
61.0,428.117,364.155,223.416,237.8,134.42,87.8395,57.7963,139.847
62.0,423.518,378.725,219.337,239.568,129.747,83.1209,57.9905,142.713
63.0,429.078,354.372,210.984,239.312,138.494,93.265,62.0158,142.626
64.0,432.538,361.835,216.979,242.435,133.265,97.5552,64.783,145.809
65.0,403.421,371.01,217.212,243.157,124.984,95.8449,60.782,143.721
66.0,410.777,353.146,207.556,239.737,124.91,80.9652,56.9552,141.794
67.0,417.195,347.866,212.487,239.069,129.866,86.2463,62.2946,138.746
68.0,398.761,354.181,209.183,243.987,120.554,82.6511,58.8118,145.694
69.0,408.247,348.758,212.987,239.602,128.92,89.5821,58.4217,138.283
70.0,401.049,366.34,215.895,241.041,120.632,85.5645,55.6416,139.813
71.0,402.855,344.824,206.648,243.557,120.554,89.4612,59.5465,142.926
72.0,397.513,358.526,208.173,241.67,123.34,85.0961,60.4556,142.591
73.0,388.684,337.261,206.58,243.745,123.166,81.2269,59.2977,137.316
74.0,386.356,336.511,208.794,245.246,119.973,78.6801,52.8823,142.345
75.0,394.927,346.564,194.949,246.988,123.313,87.8596,58.3275,141.085
76.0,387.284,347.099,201.82,247.303,120.554,82.609,57.5809,146.047
77.0,390.303,327.733,189.242,243.349,120.918,82.8582,56.4726,138.096
78.0,389.072,331.446,195.614,246.301,121.914,88.4494,58.8645,139.386
79.0,369.477,343.66,200.628,246.372,114.216,84.8752,58.0778,138.461
80.0,369.564,324.235,191.489,244.922,112.349,84.4242,52.4529,140.68
81.0,365.822,332.561,200.677,246.615,116.092,78.1129,54.6717,138.809
82.0,356.554,320.019,197.095,245.364,107.269,73.1061,55.1272,138.002
83.0,355.329,328.196,200.885,244.719,111.177,78.0968,56.1453,136.884
84.0,349.904,325.523,198.111,242.713,106.501,73.9427,60.1863,135.584
85.0,353.983,316.244,187.52,243.178,110.266,85.1837,54.0182,134.691
86.0,343.993,329.415,203.334,245.337,106.839,81.4997,57.0874,135.954
87.0,342.727,319.834,192.57,243.887,108.779,74.808,54.4467,134.83
88.0,337.329,314.069,197.619,241.472,106.299,74.8996,50.6837,132.603
89.0,341.198,311.457,183.306,240.965,108.984,77.0066,57.3962,133.301
90.0,340.291,327.804,200.104,242.531,110.138,75.1628,53.2071,133.149
91.0,334.477,308.923,179.689,240.665,106.169,81.0723,59.833,134.686
