time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.309828,0.131139,0.063249,0.270502,0.0738971,0.0743653,0.0184639,0.0839928
-1.0,2.73436,2.80899,1.98175,2.16133,2.94869,4.04492,2.33969,2.2423
0.0,2.01779,2.70005,4.00349,1.87086,2.27486,3.45976,3.51314,2.1486
1.0,1.79067,4.21762,3.7791,2.54262,2.21625,2.78379,3.21678,2.56069
2.0,29.5318,4.20935,7.22495,3.88824,50.2005,4.18562,6.11077,3.82616
3.0,147.057,4.55823,3.78132,3.28373,117.902,6.40496,4.12955,3.45745
4.0,129.049,14.6248,9.90209,4.45707,96.9806,8.69053,8.35317,4.46053
5.0,112.236,113.677,31.5347,4.88133,101.747,57.6035,11.0425,4.52938
6.0,99.4596,315.453,128.427,5.55387,80.2966,144.325,53.8971,7.9878
7.0,89.1465,125.779,116.817,11.561,73.5945,61.4468,31.2535,28.0635
8.0,96.631,90.2627,92.3114,27.2716,83.7236,44.5495,50.4829,62.947
9.0,96.6705,35.9115,33.7253,44.7392,88.417,30.8171,25.2198,96.7639
10.0,102.144,31.536,39.775,62.8184,91.1646,33.1061,26.6957,116.199
11.0,101.515,27.037,46.64,71.1236,90.2047,29.8619,25.0228,123.88
12.0,106.553,69.5787,94.9863,77.9059,98.6232,51.4559,39.0167,128.242
13.0,100.728,44.2474,68.917,85.0137,95.6858,49.4761,33.6599,131.315
14.0,103.338,27.0515,51.6433,89.0454,91.7959,29.7462,30.6687,132.358
15.0,161.118,27.2515,56.7887,91.9259,123.636,29.511,30.7173,131.084
16.0,210.674,56.2784,81.9917,98.584,140.121,37.2236,42.9129,130.928
17.0,239.508,112.843,132.417,101.329,137.319,53.0861,45.6969,130.915
18.0,259.819,163.539,152.93,109.858,130.458,64.7512,40.9636,130.413
19.0,276.193,205.791,166.012,113.1,125.574,74.1876,51.0237,129.798
20.0,289.382,221.163,169.629,115.977,119.612,83.4622,46.3444,129.705
21.0,296.846,227.001,162.173,119.072,114.025,88.9187,49.9921,126.84
22.0,308.443,231.386,188.044,127.227,111.064,84.9906,48.5613,128.478
23.0,315.869,217.787,191.894,131.508,105.464,88.8454,50.9757,128.738
