time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.273985,0.181365,0.0942771,0.233008,0.0446612,0.0459681,0.0443762,0.0593437
-1.0,4.79848,8.13161,8.93275,5.59285,2.44451,2.76357,3.30762,2.6688
0.0,4.98615,4.82716,7.2154,4.77004,2.56204,2.45369,2.70134,2.66513
1.0,4.14315,6.30917,7.66518,4.79692,2.47084,3.56176,4.57291,2.58278
2.0,14.474,8.57381,8.62451,7.1295,18.7307,3.57637,6.33961,4.83639
3.0,259.074,8.17602,7.7847,7.19287,192.77,3.96394,3.89962,4.78815
4.0,316.401,11.177,10.6973,8.80491,203.142,4.43153,3.94938,4.88162
5.0,357.188,175.687,98.7037,7.7085,201.8,39.2372,39.3224,6.7309
6.0,354.785,266.591,201.852,20.1262,197.865,84.3829,63.2421,17.9074
7.0,352.871,310.92,167.307,16.0791,187.998,82.3868,49.898,15.6559
8.0,356.328,352.475,174.299,19.553,187.611,101.316,73.9067,31.1834
9.0,367.473,312.454,185.342,31.924,192.914,84.7027,85.3159,54.2345
10.0,392.822,321.072,186.757,42.4682,202.991,87.2098,95.8904,77.4259
11.0,412.798,320.811,196.222,50.8333,209.291,78.8055,101.915,88.1236
12.0,422.426,340.031,194.089,57.1491,206.062,83.6176,102.06,99.0062
13.0,434.977,342.434,202.745,68.0564,212.648,88.7063,97.6801,109.287
14.0,457.951,349.071,192.68,71.7507,226.31,104.052,97.0851,117.616
15.0,499.374,346.146,189.302,81.1,225.231,94.9411,105.447,128.687
16.0,561.579,334.754,192.259,85.8962,231.903,103.916,109.647,128.848
17.0,607.503,356.766,202.868,93.5493,227.152,102.293,109.22,137.639
18.0,642.062,349.9,194.636,94.4102,225.002,95.51,102.57,136.227
19.0,671.408,359.835,201.047,100.995,220.222,90.2279,106.886,141.359
20.0,692.045,349.992,207.649,106.378,219.371,83.5674,96.7069,145.131
21.0,703.844,342.383,213.288,110.711,224.393,79.6975,99.3053,146.038
22.0,710.447,331.655,229.424,112.971,229.038,76.843,102.136,146.42
23.0,710.701,328.769,230.389,118.721,224.339,77.2373,92.0753,147.265
24.0,716.816,325.544,236.007,122.353,222.999,80.4533,88.3874,148.303
25.0,723.896,339.335,237.97,123.84,214.832,85.2725,84.2345,148.398
26.0,707.031,331.679,228.059,131.138,210.332,83.7926,74.1667,151.316
27.0,686.561,346.703,238.25,135.163,205.731,89.8105,78.3852,151.084
28.0,664.824,346.52,259.27,137.984,203.385,87.5496,78.5062,151.475
29.0,645.337,363.802,264.582,140.651,199.992,95.7759,74.2429,150.726
30.0,628.314,365.133,263.107,145.834,199.247,93.8442,66.8727,150.049
31.0,610.254,335.949,250.661,146.333,195.945,80.5565,68.4031,150.258
32.0,604.689,339.837,234.626,147.582,196.173,76.7483,73.6249,146.377
33.0,585.939,338.641,224.766,151.662,188.898,76.0358,70.4342,146.578
34.0,576.46,330.699,218.308,157.229,188.037,76.1286,71.6712,146.368
35.0,570.515,313.285,221.9,161.849,178.742,66.9876,62.9526,145.841
36.0,558.471,312.8,216.336,160.65,172.074,69.9137,68.3174,143.335
37.0,551.807,314.565,204.497,163.878,169.714,67.4127,68.9246,143.304
38.0,540.595,330.991,214.257,165.263,165.898,75.2678,69.8498,140.832
39.0,531.164,313.384,207.086,165.91,158.761,63.2695,74.4049,137.962
40.0,524.292,300.205,192.425,168.778,156.207,67.22,73.1499,138.2
41.0,514.436,289.043,203.827,170.031,150.877,61.9974,68.0836,136.562
42.0,506.527,290.84,198.908,168.941,146.772,58.4066,71.7325,133.924
43.0,498.094,258.933,194.007,171.175,145.118,51.1817,75.3649,132.832
44.0,490.159,267.228,201.685,172.501,139.811,55.345,67.2351,131.571
45.0,485.551,251.268,200.138,174.009,136.921,46.8647,66.2358,131.093
46.0,474.096,260.304,190.676,174.336,133.39,49.0325,62.395,129.544
47.0,470.979,252.387,195.187,175.58,131.848,45.1085,65.4461,130.264
48.0,464.175,254.541,193.51,175.827,128.004,49.6707,69.877,127.155
49.0,459.867,247.995,190.088,176.118,126.613,45.037,64.6321,126.217
50.0,450.56,249.473,188.217,176.904,124.666,50.2764,63.7817,125.312
51.0,446.886,252.528,180.146,177.46,123.168,47.0563,56.2327,124.316
52.0,436.974,254.829,180.432,178.868,117.8,51.7725,60.5959,122.962
53.0,436.79,243.24,182.266,177.541,119.162,46.6858,65.709,122.576
54.0,428.318,235.767,186.097,178.554,115.804,45.9287,62.7747,122.682
55.0,421.764,244.535,170.958,179.32,111.761,49.8767,61.3842,119.658
56.0,414.538,243.63,179.919,177.208,110.087,51.9495,64.7942,119.801
57.0,410.36,253.111,181.772,177.868,111.207,49.2664,63.6264,118.443
58.0,405.398,235.047,172.518,177.353,107.677,45.7174,63.1191,116.895
59.0,399.672,244.17,171.518,178.406,106.049,50.5597,56.3404,116.446
60.0,395.126,233.058,166.489,178.223,106.094,46.6197,60.1397,116.004
61.0,389.683,232.886,173.358,178.514,101.891,47.288,59.7478,114.47
62.0,384.125,233.347,177.447,176.116,100.603,47.3034,62.8115,112.806
63.0,381.535,227.28,166.866,177.956,101.479,43.8762,58.8511,113.182
64.0,377.46,234.524,159.862,177.79,96.3576,46.8983,49.1025,112.79
65.0,373.182,228.36,168.993,177.282,96.5738,40.6444,57.3451,110.805
66.0,372.764,237.16,163.271,176.594,96.3426,44.0809,59.9692,110.4
67.0,368.69,227.683,161.588,175.468,95.2413,42.0096,60.8617,109.956
68.0,362.473,226.684,160.695,177.736,93.8216,44.4246,53.238,110.592
69.0,354.407,227.504,173.446,175.585,89.6946,43.4462,64.8768,108.077
70.0,359.794,232.333,159.676,174.835,92.694,45.8786,57.1998,106.7
71.0,355.502,209.54,148.601,174.851,90.5855,42.1945,56.8827,108.225
72.0,344.195,223.102,155.26,175.425,86.8681,42.4132,58.2146,106.956
73.0,345.788,208.795,156.093,176.252,87.0654,41.9117,55.1142,106.957
74.0,338.423,221.935,160.673,176.863,84.5127,44.8096,60.6973,107.063
75.0,336.561,222.499,156.213,173.429,84.1071,42.9471,59.5942,104.948
76.0,334.48,207.994,151.731,174.626,86.2447,40.8038,53.9201,104.113
77.0,334.778,207.646,149.639,174.735,84.19,43.3014,59.7498,103.77
78.0,333.527,223.482,150.901,174.425,85.6432,42.2954,53.3129,104.071
79.0,330.402,213.224,154.772,176.348,82.2921,40.4683,57.8012,104.707
80.0,326.036,201.083,146.176,174.574,84.1148,40.5526,51.7085,104.088
81.0,323.768,201.99,147.453,174.501,83.417,41.9074,51.1031,102.127
82.0,330.01,202.567,161.444,177.619,83.1566,39.618,53.4226,104.036
83.0,322.579,203.222,157.789,176.544,82.0896,41.1867,53.1989,102.738
84.0,312.174,199.745,153.782,173.699,76.9008,39.4262,59.7534,101.259
85.0,316.993,197.814,142.138,174.199,82.4017,40.6233,55.8343,100.31
86.0,312.498,210.538,153.543,174.455,78.2874,42.1572,53.8266,100.594
87.0,310.96,196.041,147.771,173.052,79.8714,38.5885,51.7462,101.198
88.0,308.104,208.75,150.202,173.558,77.8987,42.4548,53.6373,99.1247
89.0,305.236,196.35,142.742,173.731,78.3793,40.8723,54.0837,100.106
90.0,301.256,200.521,142.072,171.597,76.8722,42.6016,56.4965,100.439
91.0,298.691,194.513,142.509,170.501,77.2475,40.9711,60.0363,97.6884
