time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.273985,0.148919,0.0487272,0.188715,0.0446612,0.0554358,0.0220439,0.0442511
-1.0,4.79848,6.51165,9.30669,5.19708,2.44451,2.82192,4.14906,2.71921
0.0,4.98615,5.40514,8.34212,5.21338,2.56204,1.82785,3.44379,2.75493
1.0,4.14315,5.29868,8.56929,5.35108,2.47084,2.62755,2.92026,2.7114
2.0,14.474,14.0169,10.813,8.51602,18.7307,5.13159,3.37509,4.84657
3.0,259.074,66.5827,20.0393,8.54318,192.77,27.0571,9.97979,5.19378
4.0,316.401,250.865,99.3227,15.0681,203.142,66.6508,41.7963,14.4091
5.0,357.188,178.678,175.621,16.3012,201.8,96.8568,41.2677,26.5416
6.0,354.785,127.899,113.291,26.5536,197.865,72.423,28.5645,33.1897
7.0,352.871,111.016,96.9112,28.8441,187.998,75.2397,29.8707,46.1732
8.0,356.328,118.697,105.889,39.2586,187.611,75.9362,27.2759,67.5832
9.0,367.473,131.93,97.8304,52.7289,192.914,77.8314,34.2826,91.2327
10.0,392.822,157.983,112.648,60.8729,202.991,81.7313,33.2874,101.712
11.0,412.798,167.751,103.289,69.4629,209.291,80.6717,37.0695,110.408
12.0,422.426,161.319,111.048,77.4456,206.062,77.6469,33.4445,119.472
13.0,434.977,169.8,113.131,85.1887,212.648,80.6093,33.1801,124.677
14.0,457.951,167.087,116.867,89.5253,226.31,80.3768,35.9654,126.731
15.0,499.374,189.014,147.139,98.088,225.231,97.5225,35.6942,127.832
16.0,561.579,209.055,132.293,103.133,231.903,98.2001,36.3611,135.636
17.0,607.503,232.453,165.252,107.09,227.152,98.8727,35.8584,135.756
18.0,642.062,251.199,164.193,110.202,225.002,107.596,37.6728,139.38
19.0,671.408,275.002,194.242,113.275,220.222,106.135,45.7311,136.114
20.0,692.045,286.808,199.97,117.503,219.371,107.574,39.3401,137.881
21.0,703.844,303.447,215.644,120.499,224.393,105.772,49.8844,135.254
22.0,710.447,314.011,221.68,124.804,229.038,97.9111,49.2843,133.808
23.0,710.701,324.902,235.488,132.41,224.339,101.139,50.2297,137.674
24.0,716.816,324.753,218.332,133.265,222.999,100.173,47.6156,135.066
25.0,723.896,323.639,215.532,140.059,214.832,99.1412,38.6679,138.48
26.0,707.031,315.722,187.259,143.061,210.332,102.089,47.1563,142.282
27.0,686.561,327.029,191.582,142.988,205.731,98.8704,45.8483,136.685
28.0,664.824,340.54,191.949,148.555,203.385,95.0745,54.9041,135.598
29.0,645.337,350.861,193.127,147.534,199.992,88.4953,59.839,135.775
30.0,628.314,361.98,185.634,149.565,199.247,88.0381,55.052,132.976
31.0,610.254,364.785,182.828,153.347,195.945,89.0628,56.6674,140.115
