time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.27491,0.15141,0.0757394,0.224999,0.0451434,0.0517796,0.0374216,0.0625532
-1.0,7.71651,4.53525,6.22156,6.06022,4.97508,3.31304,2.43878,3.39064
0.0,4.38645,5.52779,6.66276,5.81228,2.63408,4.28116,3.5829,3.51989
1.0,3.2332,10.6237,15.0264,4.57431,2.73263,3.5641,7.55466,3.07361
2.0,4.58102,7.7501,16.6985,8.52884,4.53772,4.96273,7.46081,5.09887
3.0,191.411,18.3279,20.26,7.54295,135.212,12.8648,7.47738,4.69228
4.0,351.347,320.888,190.909,11.0736,175.377,114.634,80.0457,8.38468
5.0,377.487,200.441,192.593,17.379,171.168,81.9,68.5826,21.7857
6.0,401.342,141.417,173.996,26.0935,171.526,70.6393,71.0541,44.2649
7.0,410.807,131.325,163.493,36.1125,171.532,64.9508,71.0256,68.2214
8.0,424.976,146.315,177.119,47.5426,177.434,61.4027,69.3746,87.3187
9.0,434.229,134.839,150.235,56.735,178.779,60.3357,56.1617,99.2196
10.0,441.913,129.404,129.831,66.0621,181.218,60.1237,51.5039,111.568
11.0,450.615,119.661,121.333,73.716,181.133,59.6749,50.5185,121.717
12.0,453.193,115.831,113.686,79.1762,184.585,65.9175,45.0214,127.543
13.0,459.688,115.888,116.016,87.8325,186.136,65.5189,44.5745,132.608
14.0,455.988,114.347,132.958,93.7642,185.151,75.4659,57.2228,139.178
15.0,494.402,128.772,134.755,98.9002,187.641,70.8573,58.2613,141.624
16.0,538.891,157.806,164.961,106.023,193.942,78.3239,70.8565,145.501
17.0,579.824,210.243,209.49,114.327,191.115,93.9203,89.6918,147.697
18.0,612.669,243.122,221.265,118.464,191.863,90.6368,92.4349,149.418
19.0,633.376,275.041,242.724,122.945,191.61,80.7474,87.8889,148.288
20.0,646.68,293.819,245.208,128.582,189.889,87.3143,84.2189,151.051
