time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.27491,0.160402,0.0474017,0.196502,0.0451434,0.0744257,0.00830163,0.0429127
-1.0,7.71651,7.21746,9.66804,6.18773,4.97508,4.5734,3.28163,3.97958
0.0,4.38645,7.65386,10.2307,6.30715,2.63408,2.96323,2.41808,3.97879
1.0,3.2332,9.25961,12.3088,5.53351,2.73263,3.57714,6.03514,3.44595
2.0,4.58102,18.7052,19.2593,8.53979,4.53772,9.91775,12.1435,5.25017
3.0,191.411,14.558,22.8081,8.915,135.212,6.78915,11.5744,5.52485
4.0,351.347,218.032,69.262,12.487,175.377,78.2176,21.8467,10.3203
5.0,377.487,344.948,205.932,12.3166,171.168,81.1483,53.3094,12.3605
6.0,401.342,246.841,245.771,22.9837,171.526,125.964,74.4379,33.6802
7.0,410.807,199.347,186.88,28.9048,171.532,111.946,54.9225,50.5462
8.0,424.976,157.844,142.952,38.3631,177.434,93.9566,52.5229,71.3362
9.0,434.229,156.264,147.639,47.8598,178.779,90.1494,47.009,90.2177
10.0,441.913,154.072,130.861,58.4125,181.218,87.2542,35.0834,104.471
11.0,450.615,146.1,138.044,65.2419,181.133,94.394,39.2303,113.395
12.0,453.193,143.742,134.179,73.7231,184.585,81.4848,38.2326,121.744
13.0,459.688,145.212,140.768,81.3424,186.136,90.6346,47.5917,127.88
14.0,455.988,157.82,129.834,90.3083,185.151,99.1978,41.0725,133.276
15.0,494.402,162.375,139.899,96.0532,187.641,91.762,46.6319,139.311
16.0,538.891,181.667,145.375,103.688,193.942,97.2047,36.4181,142.934
17.0,579.824,227.819,165.882,112.404,191.115,93.0556,35.1211,145.891
18.0,612.669,262.331,181.023,120.467,191.863,80.9625,48.1616,149.646
19.0,633.376,280.626,199.291,125.366,191.61,84.3349,53.6457,153.85
20.0,646.68,330.038,213.819,129.806,189.889,101.229,52.6552,155.156
21.0,655.372,349.482,251.084,135.783,186.428,111.47,56.5872,156.095
22.0,659.438,365.689,251.871,142.68,177.723,114.614,59.4773,157.796
23.0,660.188,387.845,282.995,148.14,173.32,103.724,57.6231,155.391
24.0,659.35,398.012,293.427,155.982,164.336,106.499,55.5762,160.487
25.0,656.059,410.964,298.613,159.174,161.876,109.184,62.5192,160.108
26.0,650.491,418.169,272.499,163.721,158.799,100.463,50.9715,160.456
27.0,634.872,432.538,271.105,167.022,152.86,96.4631,48.2098,155.972
28.0,630.002,441.38,290.76,171.797,152.093,91.1775,57.9974,157.304
