time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.27398,0.150006,0.0908568,0.245525,0.0502983,0.0544172,0.0528661,0.0670419
-1.0,4.3505,7.46483,10.8926,4.99635,2.55502,4.1702,4.37662,2.51257
0.0,4.23671,4.79531,7.93638,5.11843,3.00029,3.60496,3.90219,2.88753
1.0,3.98149,6.4748,10.9746,4.61959,2.17351,3.03695,4.10545,2.68614
2.0,12.531,8.77278,14.0272,7.73762,13.5524,7.53307,8.36978,4.75424
3.0,187.688,47.1911,23.208,7.0745,144.997,26.8091,15.4492,3.79518
4.0,281.441,180.285,240.546,8.07026,211.161,68.0693,120.966,6.56688
5.0,178.874,139.979,327.879,14.354,128.189,57.4499,157.712,27.1188
6.0,187.458,132.838,321.553,24.813,130.66,50.7938,147.865,54.6153
7.0,192.779,123.912,309.433,37.2243,132.263,43.2296,145.27,74.3035
8.0,198.358,128.077,318.092,48.0878,127.647,39.266,137.987,89.2565
9.0,203.344,126.401,305.842,57.7747,126.258,39.9715,134.395,104.776
10.0,214.036,135.635,301.31,67.5507,130.46,44.3087,131.696,112.839
11.0,223.002,133.912,305.031,76.5961,131.38,41.1819,128.195,123.711
12.0,234.67,128.614,309.238,84.5655,140.208,40.0091,126.333,128.334
13.0,249.05,131.165,300.938,92.6454,143.815,42.0224,128.334,140.464
14.0,257.735,127.048,309.58,99.4532,150.155,35.9242,124.56,141.008
15.0,284.996,119.291,286.571,103.801,160.033,38.308,118.617,146.278
16.0,341.207,171.287,279.073,108.528,185.235,57.2258,112.013,148.39
17.0,380.048,231.137,284.045,118.018,205.697,90.5418,99.4409,155.156
18.0,413.721,300.68,285.318,119.64,218.011,132.785,92.9335,153.282
19.0,421.294,321.886,302.398,121.772,214.912,128.621,101.56,153.36
20.0,439.575,330.658,291.741,125.957,227.305,118.257,98.1802,153.275
21.0,442.141,322.151,277.777,127.944,222.804,113.959,93.1098,154.419
22.0,449.917,319.869,280.916,132.101,225.23,112.934,92.5463,152.49
23.0,460.23,298.078,263.036,134.217,225.438,108.815,86.7543,150.736
24.0,465.498,305.204,260.49,139.692,227.284,113.576,84.9356,148.012
25.0,468.304,292.022,260.811,139.967,229.243,100.65,83.6338,145.935
26.0,465.112,300.106,249.627,143.543,224.255,103.088,79.3599,147.035
27.0,464.799,286.989,240.379,147.615,228.053,99.1532,77.5298,145.622
28.0,458.605,257.686,231.354,145.358,225.898,89.4302,76.1367,142.141
29.0,448.823,247.605,218.25,145.486,221.442,84.9526,71.0252,137.488
30.0,453.202,243.476,222.341,147.276,226.605,84.6714,71.4652,136.485
31.0,438.132,228.39,211.749,148.146,217.633,80.958,65.812,134.967
32.0,436.426,234.094,206.81,149.315,217.113,81.8065,64.7919,133.796
33.0,418.928,198.144,197.052,149.906,209.765,66.4632,61.9208,129.93
34.0,418.23,223.357,199.5,155.568,210.753,76.5366,61.9666,131.447
35.0,402.573,200.89,198.874,152.951,198.172,67.8491,62.6948,128.112
36.0,394.571,202.524,189.708,154.725,191.709,75.7948,60.8627,126.028
37.0,397.101,196.345,198.397,154.291,193.046,72.2987,61.3155,124.424
38.0,385.687,200.644,189.076,158.347,185.811,70.8667,58.3898,124.541
39.0,389.909,215.494,198.314,157.716,186.851,72.4074,58.0849,122.251
40.0,377.442,196.285,189.103,158.658,180.891,70.2706,56.2438,119.036
41.0,377.338,201.708,186.955,159.659,182.469,71.8981,56.6021,120.696
42.0,378.673,186.88,180.601,160.164,186.197,65.9513,56.1502,118.416
43.0,369.732,180.849,180.232,158.321,179.53,65.1456,57.089,114.056
44.0,377.344,200.754,181.625,160.04,185.824,68.377,56.0139,113.996
45.0,374.223,186.926,174.96,161.544,186.013,69.2093,52.4712,115.02
46.0,360.414,181.472,176.339,163.797,179.885,65.8396,52.9994,117.766
47.0,368.65,189.607,168.785,161.923,186.079,66.7269,55.5075,113.998
48.0,372.607,173.109,162.68,161.146,187.067,59.5099,52.4546,109.843
49.0,367.837,155.087,154.265,161.606,183.129,52.1751,51.0484,109.551
50.0,368.666,168.826,152.823,164.519,186.217,56.7196,47.451,111.547
51.0,363.11,152.696,153.269,162.792,182.548,54.6846,52.0582,107.835
52.0,372.559,164.882,164.464,161.465,180.521,61.0303,54.3917,107.008
53.0,374.963,178.697,164.568,161.294,184.495,65.6416,57.9525,105.33
54.0,383.728,183.016,171.639,162.141,190.195,65.2739,56.921,105.592
55.0,383.76,195.949,183.164,161.664,193.37,72.8435,58.975,103.262
56.0,381.676,202.714,188.659,159.941,191.318,77.421,61.2004,101.983
