time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.0,0.380643,0.244424,0.0853518,0.342548,0.138726,0.10528,0.0268062,0.132931
-1.0,2.03164,1.29495,2.34746,2.35955,2.66642,1.24936,2.49601,2.42006
0.0,2.55223,4.2347,2.00039,2.11143,3.03144,3.02479,1.41015,2.41797
1.0,3.32232,1.57084,1.71642,1.68693,3.92506,2.09811,1.41532,2.12431
2.0,4.43373,2.89161,1.24945,3.74039,5.6955,4.16114,1.76592,4.13329
3.0,6.55722,3.65708,3.64739,3.77763,9.6933,3.68555,4.42754,4.38879
4.0,121.336,39.9743,16.306,3.14784,104.156,32.2162,5.78987,3.85993
5.0,197.877,355.104,222.005,5.53928,148.117,107.959,76.7687,8.21431
6.0,186.541,312.13,182.288,8.17461,131.714,138.914,25.9832,16.6648
7.0,182.635,229.789,152.698,14.3493,124.223,107.012,60.5295,36.7682
8.0,178.935,184.306,109.441,25.2206,119.929,89.6328,45.7334,58.8781
9.0,180.604,148.185,94.34,33.3246,114.889,84.2654,39.4223,75.4422
10.0,179.475,123.523,71.5406,43.7156,112.848,70.3869,32.8548,90.8174
11.0,179.558,115.09,56.7554,53.9984,109.539,71.6604,27.1757,102.854
12.0,181.43,109.253,48.4005,63.4699,112.686,65.2684,29.364,114.291
13.0,179.365,99.9339,51.9469,71.2547,113.466,57.5889,28.0063,125.6
14.0,189.533,100.827,62.1886,80.6706,116.778,59.9318,38.243,131.75
15.0,225.96,166.462,71.1431,86.7334,122.953,92.7175,45.5005,136.328
16.0,278.036,149.657,82.9308,93.7589,146.165,84.915,52.3595,140.479
17.0,319.514,179.563,111.309,100.788,159.229,96.5649,52.9021,143.089
18.0,348.127,209.31,135.799,107.369,170.1,110.407,52.67,144.358
19.0,386.183,216.94,134.606,114.526,181.726,116.44,47.2641,147.578
20.0,430.599,228.045,164.202,121.675,193.799,120.81,48.2459,149.606
21.0,443.008,224.297,167.035,125.636,196.208,114.368,53.4917,147.182
22.0,445.033,227.521,155.267,132.767,194.939,115.673,55.6175,147.685
23.0,439.631,231.685,150.332,135.867,192.746,115.496,55.8024,147.986
24.0,448.345,245.709,153.146,141.088,195.859,120.684,56.885,145.92
25.0,447.45,258.583,168.626,145.076,193.595,120.259,58.7438,143.804
26.0,442.928,269.135,166.997,147.672,194.687,126.99,62.6586,144.284
27.0,432.338,273.655,168.032,153.447,188.333,125.059,59.5354,143.379
28.0,422.387,289.353,175.15,155.363,184.044,126.013,57.9528,142.432
29.0,406.35,306.387,190.377,156.864,175.078,122.573,64.0065,141.234
30.0,395.365,321.473,202.304,160.029,169.882,120.17,63.0155,139.321
31.0,385.643,342.927,203.225,163.29,166.112,112.156,57.7431,142.001
32.0,373.655,358.35,206.986,166.283,161.675,114.696,64.1642,138.009
33.0,366.025,371.021,222.156,168.256,157.66,108.106,66.3401,137.183
34.0,352.473,385.576,217.884,168.541,150.469,107.368,57.1234,135.844
35.0,341.014,388.374,207.573,172.19,148.012,107.898,60.3234,135.352
36.0,337.341,396.035,201.9,173.01,146.974,105.788,53.2623,133.74
37.0,337.11,392.56,197.628,174.858,143.903,105.114,44.2689,134.232
38.0,318.077,384.908,199.338,172.496,137.775,97.989,64.0408,131.142
39.0,310.124,389.667,199.868,175.366,133.534,96.8583,49.3246,130.786
40.0,308.062,386.456,197.533,176.835,132.781,100.871,54.8211,130.812
41.0,304.764,400.951,204.872,175.533,132.92,95.1615,39.0569,126.028
42.0,298.692,406.814,215.221,177.898,129.751,101.626,41.847,127.344
43.0,298.581,418.069,209.334,178.873,126.246,111.902,43.3866,125.636
44.0,288.604,414.209,221.689,177.472,124.899,107.379,45.2192,122.822
45.0,290.468,420.443,225.331,180.905,125.509,108.115,40.3,122.848
46.0,285.789,410.586,223.254,178.964,122.17,98.5624,46.425,120.207
47.0,276.341,408.039,223.999,179.744,121.263,101.478,55.8451,120.756
48.0,278.894,413.754,225.015,181.651,121.859,106.628,41.6602,121.121
49.0,279.756,404.713,211.202,180.886,123.05,104.493,54.8978,119.507
50.0,273.553,405.318,236.008,181.873,121.208,97.0026,54.3185,117.674
51.0,275.561,400.164,225.608,182.887,120.534,101.169,44.2869,118.455
52.0,267.313,407.395,216.521,183.798,118.067,97.7809,42.2089,118.234
53.0,261.598,406.937,225.072,185.045,118.456,100.979,42.726,115.871
54.0,261.199,404.18,217.802,183.591,117.526,109.865,35.3259,118.641
55.0,256.787,390.377,219.31,184.878,114.983,107.921,42.9926,116.584
56.0,253.798,394.807,218.074,185.547,115.192,108.733,38.2879,117.249
57.0,248.286,382.558,213.215,184.358,111.877,102.331,53.301,114.171
58.0,247.615,380.511,217.594,187.136,112.346,104.641,39.2053,117.203
59.0,245.824,374.087,196.782,186.725,109.619,102.145,47.7087,116.542
60.0,238.456,364.609,213.953,185.614,104.601,96.8132,39.4592,114.308
61.0,237.47,363.989,188.005,186.904,105.529,93.5006,43.9236,113.239
62.0,233.344,368.003,197.83,187.609,104.704,97.6824,36.7648,113.593
63.0,227.594,365.716,203.522,186.257,101.034,101.708,37.2617,115.661
64.0,228.826,354.903,193.886,186.901,100.603,95.3289,42.7993,112.494
65.0,228.527,353.066,186.844,188.805,101.237,97.9222,41.6003,113.066
66.0,226.919,343.407,191.33,185.879,99.0757,96.6793,47.7898,111.693
