Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [0]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [0]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [1]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [1]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [2]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [2]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [3]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [3]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [4]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [4]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [5]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [5]),Image mean (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [6]),Image stdev (CT_2021-01-20_14h15_F000_FA7Combined_crop_mc [6])
0,Clear Label,48124109,384.993,466.464,1407.73,514.593,1463.69,646.28,1654.96,623.409,1539.33,562.025,1440.76,546.431,1421.27,531.871,1418.47
1,CA1,27,0.000216,-38.7801,333.526,2647.44,367.122,5152.33,325.339,3962.19,443.432,1918.05,275.597,1100.74,191.973,817.48,239.112
2,CA2,27,0.000216,-91.2224,223.17,2094.38,236.698,3913.91,541.52,3300.68,382.723,1775.1,297.695,893.937,223.786,867.165,296.84
3,CA3,27,0.000216,151.387,381.742,1937.86,450.744,3296.69,515.411,3067.36,348.856,1576.24,396.147,1094.54,393.8,823.76,439.488
4,CA4,27,0.000216,333.789,323.942,1330.28,547.258,2901.81,555.864,2370.64,390.239,1128.78,289.971,1032.43,319.137,926.565,378.614
5,CA5,27,0.000216,707.801,255.476,701.819,363.748,2028.07,352.962,2083.99,330.272,1135.23,347.639,999.967,348.161,829.997,380.793
6,ST1,27,0.000216,372.781,321.878,343.421,281.023,646.958,300.008,732.749,356.182,889.949,215.298,913.879,229.733,406.003,189.867
7,SV1,27,0.000216,377.831,159.748,533.46,216.918,132.548,337.62,289.833,219.676,592.182,283.993,317.963,209.814,272.988,227.737
8,ST2,27,0.000216,337.056,224.425,-41.5805,256.35,402.312,417.621,685.993,239.08,853.672,151.787,680.986,271.929,605.887,286.94
9,SV2,27,0.000216,327.934,236.648,330.777,376.523,166.152,296.346,69.5412,243.531,628.162,302.124,393.826,312.694,341.299,257.397
10,ST3,27,0.000216,125.463,174.159,483.861,372.109,692.145,251.588,359.162,252.087,765.886,303.416,656.632,308.802,557.348,298.156
11,SV3,27,0.000216,366.544,295.22,570.628,264.765,331.753,206.057,242.524,197.317,473.932,329.779,386.019,296.787,424.927,217.405
12,ST4,27,0.000216,258.181,184.329,531.211,275.349,749.212,534.316,800.89,322.548,485.515,313.941,874.123,237.375,468.374,289.095
13,SV4,27,0.000216,337.778,242.644,286.184,317.041,241.124,278.91,60.4614,284.942,-81.4213,272.49,222.328,237.395,332.898,195.647
14,ST5,27,0.000216,189.615,298.445,694.86,245.022,256.356,244.665,39.5014,240.416,625.701,433.729,379.019,383.276,637.157,326.185
15,SV5,27,0.000216,174.298,234.948,123.978,228.764,-128.433,232.874,-75.4813,192.609,112.437,192.896,146.38,334.697,116.934,232.755
16,ST6,27,0.000216,67.25,266.146,51.3816,334.636,-65.4256,246.897,91.5194,298.769,84.1792,251.39,369.133,291.728,55.0305,384.129
17,SV6,27,0.000216,113.922,231.664,343.548,349.443,-73.2749,429.397,3.69133,276.353,246.004,265.486,148.205,179.077,70.8141,217.872
18,ST7,27,0.000216,394.845,216.74,493.322,229.205,346.73,296.58,188.215,302.933,206.332,309.801,359.459,286.6,431.588,244.191
19,SV7,27,0.000216,145.701,313.204,463.877,317.505,326.873,176.618,299.719,305.274,230.093,270.915,243.161,261.221,348.724,211.12
20,ST8,27,0.000216,231.535,314.394,191.525,314.795,319.194,293.328,0.212145,320.247,359.756,300.054,169.419,304.381,292.803,303.825
21,SV8,27,0.000216,185.16,298.107,637.114,407.631,463.155,279.792,285.42,238.302,237.815,287.299,461.501,271.179,297.343,259.334
22,SM1,27,0.000216,501.766,220.667,61.7767,435.446,888.888,336.698,1123.65,267.324,1068.07,216.945,1095.69,223.587,791.853,244.155
23,SM2,27,0.000216,236.33,458.005,853.715,294.419,1154.37,317.932,946.804,274.152,1201.51,248.867,1148.38,314.112,964.412,382.503
24,SM3,27,0.000216,815.401,308.957,1005.61,407.178,1057.03,313.269,1259.17,337.506,1325.74,293.385,1206.72,290.762,897.119,321.406
25,SM4,27,0.000216,687.181,228.698,719.681,313.703,759.946,373.924,760.498,517.98,805.812,332.751,628.035,238.417,979.262,213.048
