Label Id,Label Name,Number Of Voxels,Volume (mm^3),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [0]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [0]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [1]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [1]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [2]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [2]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [3]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [3]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [4]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [4]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [5]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [5]),Image mean (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [6]),Image stdev (CT_2021-01-20_13h36_F000_FA7Combined_crop_mc [6])
0,Clear Label,48124109,384.993,448.811,1283.27,495.937,1335.15,619.168,1509.8,598.953,1399.8,548.064,1313.7,534.022,1295.72,521.53,1295.49
1,CA1,27,0.000216,-17.1286,278.895,1922.98,333.471,3737.55,378.673,3389.04,281.008,1858.41,346.483,1581.77,294.514,1200.4,340.104
2,CA2,27,0.000216,352.366,288.776,1436.98,398.255,2690.67,356.301,2369.94,415.907,1254.97,374.941,863.255,426.995,1040.39,333.431
3,CA3,27,0.000216,781.216,557.923,1844.38,521.092,2732.18,451.219,2270.39,498.469,1729.48,352.185,1523.98,580.279,1379.53,344.539
4,CA4,27,0.000216,517.716,483.837,1423.11,460.661,2020.54,315.967,2043.86,388.44,1625.22,221.253,1173.73,283.803,1067.99,391.899
5,CA5,27,0.000216,338.883,422.251,946.821,406.866,1551.11,245.8,1409.67,476.4,992.525,426.084,799.998,307.704,586.442,320.046
6,ST1,27,0.000216,173.236,303.868,356.309,384.342,434.447,432.556,567.787,262.26,673.696,316.48,854.182,349.794,966.917,480.847
7,SV1,27,0.000216,127.659,275.605,257.777,309.808,278.212,266.731,273.167,435.658,480.915,285.495,50.7074,292.178,234.373,387.904
8,ST2,27,0.000216,267.274,291.429,273.421,301.969,527.043,484.965,604.419,359.516,755.015,343.397,702.357,373.203,619.979,411.139
9,SV2,27,0.000216,358.556,234.774,325.91,334.278,162.976,297.508,200.54,288.439,317.345,269.277,254.215,266.74,255.572,276.293
10,ST3,27,0.000216,421.813,291.393,932.787,350.871,613.789,296.313,762.646,393.149,446.361,406.908,469.213,398.267,563.378,434.042
11,SV3,27,0.000216,440.849,420.149,431.903,365.839,305.389,409.112,444.029,349.417,459.546,423.254,554.347,242.543,268.334,281.301
12,ST4,27,0.000216,391.668,305.73,439.323,364.16,590.809,335.398,611.075,268.753,479.94,275.219,743.525,308.308,818.611,351.822
13,SV4,27,0.000216,207.069,239.286,254.555,373.806,69.8287,335.853,298.266,395.974,465.821,360.306,255.657,251.811,150.469,374.357
14,ST5,27,0.000216,307.679,255.015,236.62,365.182,46.6796,443.017,60.7556,430.207,517.292,266.334,596.957,290.092,356.733,390.903
15,SV5,27,0.000216,128.634,360.971,71.6518,489.429,-88.738,304.61,309.714,207.406,441.273,352.594,206.476,342.35,109.598,345.018
16,ST6,27,0.000216,112.523,369.826,34.8083,323.411,-292.458,293.715,211.14,281.146,99.7189,292.301,172.6,307.623,472.605,302.461
17,SV6,27,0.000216,402.564,277.601,320.44,346.993,257.014,264.089,397.943,314.47,415.453,246.758,452,238.398,215.21,262.77
18,ST7,27,0.000216,311.282,236.156,620.233,290.714,342.699,248.343,297.037,291.986,569.398,355.397,478.159,207.769,345.243,284.523
19,SV7,27,0.000216,158.821,254.047,418.294,230.824,355.673,338.894,400.996,332.846,411.595,199.148,241.539,211.39,335.067,297.44
