time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.5,0.314504,0.21909,0.0918596,0.324714,0.0827453,0.0571712,0.0246701,0.125665
-1.5,2.53,1.45926,2.51039,2.7886,2.45354,1.31041,2.11351,2.65302
-0.5,1.88996,2.86258,2.75612,2.42621,2.08131,2.14471,3.10335,2.6162
0.5,1.24998,1.83966,3.77681,3.3262,1.71206,1.86795,4.38789,3.53341
1.5,28.5241,1.75335,4.54588,3.80424,32.5167,2.50351,4.69646,4.8816
2.5,138.491,3.83036,6.90742,4.35006,101.712,3.79518,5.23345,4.42363
3.5,152.501,34.4308,6.61326,4.08557,143.234,22.619,8.35827,4.80354
4.5,122.353,82.5992,17.0872,6.07164,91.5833,38.261,8.87689,6.64138
5.5,121.542,161.772,47.095,6.45262,82.3774,59.6998,17.3706,6.5691
6.5,122.884,195.478,97.3064,7.58098,79.1891,68.1304,35.8702,9.14488
7.5,127.8,140.934,128.503,7.01736,82.382,66.1682,44.7333,12.006
8.5,137.473,73.842,144.801,13.816,88.0271,52.5753,48.9097,24.1539
9.5,144.462,66.1078,99.1068,17.3881,90.594,44.9073,51.2148,38.7932
10.5,149.937,45.1467,88.4792,25.719,93.9967,41.1028,50.8242,56.1736
11.5,157.28,32.21,78.3644,31.6008,96.5649,32.8518,51.9899,67.237
12.5,162.366,33.3136,69.8645,37.6297,98.7215,33.1421,46.563,77.6551
13.5,169.393,35.7255,75.0436,42.6145,98.7386,37.2686,52.5478,83.9543
14.5,186.357,56.0696,70.3489,47.5997,110.34,50.3016,46.2677,89.9703
15.5,211.392,114.946,78.0076,53.5657,119.875,70.2014,46.1859,94.7818
16.5,241.144,141.288,94.6199,56.4585,126.885,67.4729,48.5391,97.8646
17.5,267.847,146.242,119.095,61.9831,138.469,61.5874,56.7522,100.986
18.5,288.32,146.802,129.091,61.5079,138.277,53.7515,56.4677,102.721
19.5,323.385,159.683,140.782,65.9499,142.149,56.4792,49.6795,103.03
20.5,343.532,170.55,147.85,69.2518,143.815,54.7343,53.5162,104.654
