time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
80.5,519.598,505.351,324.907,252.704,177.372,124.742,112.192,164.551
81.5,518.373,510.417,330.234,252.951,174.475,125.071,109.811,164.637
82.5,513.839,501.383,320.822,253.167,172.181,122.589,101.513,162.691
83.5,510.447,506.754,333.206,253.64,171.401,121.3,103.429,161.716
84.5,507.052,513.65,336.62,254.528,170.941,120.201,117.17,161.379
85.5,503.419,493.616,326.711,254.494,166.705,125.278,102.796,163.433
86.5,502.261,504.066,329.453,255.118,166.28,117.888,105.923,161.86
87.5,497.75,487.446,310.94,254.027,166.029,115.463,106.542,162.076
88.5,500.488,484.875,310.827,255.472,165.44,124.691,93.3136,165.208
89.5,496.58,493.527,313.444,255.002,163.211,120.962,104.577,162.793
90.5,497.081,494.184,315.654,254.434,164.336,111.685,101.277,160.241
