time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0,-26.9254,-56.912,-23.6115,14.8122,118.747,196.132,102.062,160.774
-1.5,31.1321,-101.701,-47.3674,23.3961,131.689,185.874,122.864,174.396
-1.0,-24.5225,-35.5712,-77.6467,34.1923,119.658,204.62,132.142,165.453
-0.5,56.7211,-157.997,4.12769,16.2495,154.524,188.46,174.896,167.749
0.0,456.56,-75.1836,19.1663,23.1126,568.058,216.384,132.103,165.833
0.5,245.706,-146.644,13.0758,41.1351,414.744,160.625,92.2142,164.982
1.0,571.576,-126.804,-4.70499,27.9421,535.08,164.531,137.67,163.785
1.5,3250.85,-72.9994,-22.0817,-0.514695,1349.12,155.427,138.426,166.095
2.0,5783.03,-87.2299,64.5131,17.6561,1624.15,199.714,142.622,168.382
2.5,4431.38,22.2068,-26.498,28.2442,1529.38,205.527,139.828,171.877
3.0,4527.52,71.2291,-12.2099,3.05421,1510.11,168.975,142.37,158.588
3.5,4470.34,506.532,10.9109,23.448,1669.79,328.947,117.16,177.41
4.0,4286.96,1459.77,152.032,19.1254,1716.38,740.182,252.9,165.582
4.5,4114.52,1726.15,564.079,21.4585,1725.97,786.095,420.908,170.25
5.0,4108.02,1203.2,1023.81,34.5933,1715.41,649.666,435.284,171.973
5.5,4069.12,533.703,1020.14,53.4581,1687.34,559.067,456.828,222.54
6.0,4109.78,135.146,936.783,88.5736,1658.22,416.984,438.139,305.824
6.5,4022.11,68.535,822.824,126.188,1651.14,391.379,457.79,430.067
7.0,4041.08,19.0605,698.214,174.682,1734.89,399.036,448.624,555.995
7.5,4000.66,-1.93395,613.005,229.625,1731.6,364.658,430.534,685.817
8.0,3787.5,87.3549,675.526,280.563,1538.83,360.157,485.804,747.373
8.5,4016.56,94.8887,709.154,332.898,1533.97,372.045,450.583,824.78
9.0,4276.09,117.461,691.171,364.154,1537.68,372.784,466.221,909.445
9.5,4392.46,168.485,775.081,392.732,1501.27,410.755,451.325,943.357
10.0,4519.59,147.153,779.7,446.229,1545.89,406.611,425.618,980.672
10.5,4651.65,268.049,795.72,469.556,1504.29,417.123,474.259,1005.93
11.0,4681.28,313.339,824.065,512.801,1456.28,437.387,444.116,1044.4
11.5,4802.81,359.773,760.245,560.576,1479.29,513.136,437.567,1069.73
