time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.5,0.27398,0.153489,0.061197,0.209584,0.0502983,0.0775797,0.0213169,0.0401458
-1.5,4.3505,9.06533,10.1951,5.96775,2.55502,4.48396,5.09288,3.18285
-0.5,4.23671,9.77475,9.14105,5.72378,3.00029,4.6168,5.25951,3.13167
0.5,3.98149,4.23609,11.7299,5.04755,2.17351,3.19874,6.93893,2.84048
1.5,12.531,11.1871,14.6617,7.34066,13.5524,5.83366,8.94545,4.41912
2.5,187.688,13.9506,16.3173,7.50116,144.997,5.68129,10.9912,4.25855
3.5,281.441,192.864,127.168,10.6077,211.161,87.2465,62.5275,6.93322
4.5,178.874,261.912,282.647,12.032,128.189,99.1164,97.4313,13.3683
5.5,187.458,207.877,285.084,17.6871,130.66,80.8251,87.4668,29.3564
6.5,192.779,212.379,286.571,25.4093,132.263,79.4557,78.2622,45.1103
7.5,198.358,247.27,290.144,31.2434,127.647,87.6718,72.7413,58.6334
8.5,203.344,230.16,302.605,35.1418,126.258,87.4334,70.1043,67.7493
9.5,214.036,233.443,304.263,41.1352,130.46,88.0846,74.0416,77.2647
10.5,223.002,221.133,312.24,46.2856,131.38,72.1766,66.7479,84.0496
11.5,234.67,224.374,318.444,57.011,140.208,68.6294,76.244,93.3472
12.5,249.05,224.648,305.784,57.2702,143.815,69.0455,80.7877,97.7548
13.5,257.735,222.003,327.616,66.1208,150.155,63.9594,81.7816,107.721
14.5,284.996,262.374,313.972,65.8722,160.033,81.5279,77.2137,109.974
15.5,341.207,289.523,308.471,71.9395,185.235,83.3813,63.6811,113.911
16.5,380.048,313.749,304.255,78.1144,205.697,92.6633,50.1191,116.209
17.5,413.721,336.909,308.283,84.5988,218.011,93.5902,55.6396,120.967
18.5,421.294,360.102,298.647,83.8635,214.912,103.0,60.395,120.639
19.5,439.575,367.995,300.598,85.5852,227.305,103.657,55.7504,120.805
20.5,442.141,361.971,268.199,88.6726,222.804,103.796,53.2349,121.151
21.5,449.917,377.464,278.049,91.0382,225.23,103.967,55.8493,119.968
22.5,460.23,363.624,267.567,93.8041,225.438,103.147,52.011,118.591
23.5,465.498,359.611,262.738,96.7297,227.284,105.389,54.3602,119.26
24.5,468.304,356.737,248.925,95.377,229.243,101.62,53.2389,118.442
25.5,465.112,365.358,263.086,100.057,224.255,108.149,54.1727,119.342
26.5,464.799,363.063,266.487,101.868,228.053,103.871,54.1058,118.47
27.5,458.605,354.285,261.765,101.551,225.898,103.515,53.2099,117.464
28.5,448.823,349.838,246.879,102.801,221.442,102.676,50.8635,113.854
29.5,453.202,355.336,262.695,106.034,226.605,111.117,54.9644,115.022
30.5,438.132,352.31,254.727,105.054,217.633,103.172,55.273,111.571
31.5,436.426,359.079,278.144,108.77,217.113,107.161,55.5162,114.059
32.5,418.928,347.387,260.66,109.798,209.765,96.7371,47.5581,110.752
33.5,418.23,347.991,249.313,110.344,210.753,95.106,52.654,111.997
34.5,402.573,341.419,234.069,113.064,198.172,99.325,48.9553,111.506
35.5,394.571,346.193,244.649,113.407,191.709,101.243,53.0779,111.045
36.5,397.101,344.417,237.743,114.408,193.046,97.324,46.3087,109.592
37.5,385.687,340.698,238.758,118.312,185.811,98.7995,53.5943,108.403
38.5,389.909,332.569,247.542,117.507,186.851,90.716,49.3454,108.53
39.5,377.442,320.58,234.626,116.206,180.891,88.4543,48.7945,104.719
40.5,377.338,335.614,244.031,121.503,182.469,90.9915,50.7262,107.089
41.5,378.673,312.937,221.032,116.382,186.197,88.0913,42.3928,103.644
42.5,369.732,319.639,219.818,121.018,179.53,88.8818,48.0167,104.102
43.5,377.344,324.392,233.052,123.059,185.824,87.9425,49.2995,105.056
44.5,374.223,323.282,226.887,125.362,186.013,88.9526,48.6035,105.163
45.5,360.414,329.686,215.439,128.888,179.885,88.3774,53.4058,104.631
46.5,368.65,313.828,235.832,126.804,186.079,88.6906,47.9041,103.872
47.5,372.607,312.965,215.253,124.306,187.067,90.2806,44.436,101.753
48.5,367.837,312.882,216.701,123.42,183.129,88.6123,44.0087,98.7231
49.5,368.666,333.345,213.578,132.642,186.217,97.3153,52.8912,102.235
50.5,363.11,332.107,222.491,126.927,182.548,91.2645,48.4413,99.2871
51.5,372.559,324.739,218.252,128.077,180.521,93.8307,44.5789,98.7593
52.5,374.963,328.733,216.678,128.622,184.495,95.402,46.9446,98.897
53.5,383.728,328.142,217.007,130.058,190.195,91.5787,45.9149,98.4372
54.5,383.76,322.065,225.074,130.036,193.37,94.5814,43.6793,97.14
55.5,381.676,324.421,228.81,131.653,191.318,92.9749,50.2545,97.0335
56.5,382.025,314.04,220.588,129.205,193.548,90.3758,45.6415,97.8033
57.5,376.578,315.694,212.38,129.437,188.64,89.0559,48.4566,94.5582
58.5,374.936,316.126,214.064,131.741,189.938,94.5534,46.0077,96.909
59.5,376.239,308.735,217.111,131.562,190.986,85.3224,47.3454,95.334
60.5,368.639,299.123,207.787,131.821,184.601,87.8659,50.0034,94.6077
61.5,367.078,302.48,218.07,130.73,184.733,86.9187,48.113,94.0129
62.5,363.354,290.619,195.923,130.444,184.071,85.7948,47.9021,92.136
63.5,357.5,301.846,212.035,133.613,180.162,84.1142,48.0964,93.8846
64.5,355.531,293.607,211.354,133.354,178.765,83.224,50.3743,93.3042
65.5,357.361,284.876,204.105,131.649,178.765,82.4933,45.1981,91.2909
66.5,353.537,293.875,200.313,135.719,178.625,87.1344,50.592,93.2284
67.5,349.128,299.214,203.599,138.306,175.208,89.5464,53.0442,92.3074
68.5,355.382,297.916,205.123,136.341,179.021,87.0966,49.9452,91.056
69.5,351.429,293.043,199.799,136.271,174.495,87.6993,50.6539,91.0208
70.5,351.117,302.971,205.82,135.844,177.098,87.382,49.2168,88.443
71.5,357.563,303.409,204.968,134.196,176.359,91.1404,51.4295,89.9982
72.5,358.373,300.758,205.055,134.741,177.879,87.5943,50.1748,88.1964
73.5,354.468,296.481,198.402,136.556,175.682,91.9951,45.647,87.5708
74.5,354.728,302.067,205.735,136.439,176.792,87.9402,47.3913,89.2231
75.5,354.831,303.367,196.524,137.344,174.863,88.3964,51.1334,87.2949
76.5,354.92,314.749,216.141,142.52,176.017,91.3566,51.9676,90.4484
77.5,351.278,308.091,203.74,141.583,174.39,87.1683,54.0521,88.6659
78.5,354.063,297.114,193.39,137.58,171.432,90.3086,49.4066,86.2931
79.5,347.442,287.301,209.176,139.778,168.528,81.9214,50.276,89.0951
80.5,348.307,283.841,206.413,138.243,166.974,84.7991,45.8928,86.4379
81.5,342.159,294.89,193.322,140.962,163.223,85.6812,47.8214,87.6694
82.5,342.325,292.901,189.91,142.18,162.38,91.2166,48.7829,88.1733
83.5,333.113,298.319,198.961,141.767,159.129,83.5596,47.2298,88.7852
84.5,331.935,286.914,190.666,141.437,157.635,85.9916,48.3466,88.4827
85.5,325.151,283.165,204.144,139.294,153.533,79.7841,49.5268,86.4551
86.5,318.709,287.193,193.176,142.181,148.462,84.2348,53.2335,86.3725
87.5,319.589,277.635,191.802,142.975,147.015,84.5799,47.9097,87.6126
88.5,315.104,283.471,182.152,139.118,145.719,83.6538,53.4835,84.7413
89.5,314.634,268.843,182.2,140.376,144.621,81.4219,47.6295,85.2027
90.5,307.555,266.402,176.139,142.669,139.84,78.752,46.4966,86.1546
