time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0,0.00777878,-0.0105755,0.00324795,-0.00155715,0.0129602,0.0194604,0.0121348,0.0198772
-1.5,0.00493674,-0.00144579,-0.00589679,-0.00265167,0.0157016,0.0223387,0.0119919,0.0218553
-1.0,0.0118504,0.00407115,-0.000480501,-0.00139094,0.0117739,0.0217807,0.0124149,0.0220518
-0.5,0.014847,-0.0116118,0.00712541,-0.00254073,0.0127785,0.0199124,0.0159449,0.022579
0.0,0.0342431,-0.00852395,0.00294991,-0.0033287,0.0187542,0.0187812,0.0133703,0.0224244
0.5,0.362225,-0.00914736,0.00207406,-0.000665897,0.116164,0.0197553,0.0142307,0.0213866
1.0,1.09228,-0.00886214,0.016188,-0.00381714,0.279854,0.0218841,0.0247545,0.0230756
1.5,0.886718,0.0134012,-0.00131378,-0.00157413,0.35786,0.0277902,0.0121204,0.0216283
2.0,1.14086,0.179177,0.00645332,-0.00519071,0.251355,0.139275,0.0183969,0.0235285
2.5,1.16164,0.349844,0.0625473,-0.00189738,0.231716,0.205876,0.0293905,0.022251
3.0,1.22361,0.408174,0.15439,-0.000825806,0.217432,0.219748,0.0619081,0.0272896
3.5,1.24206,0.392247,0.194548,0.00151431,0.207435,0.199988,0.0910357,0.0343557
4.0,1.24455,0.370772,0.182895,0.00768668,0.193225,0.205866,0.0823113,0.0424215
4.5,1.21851,0.352021,0.276589,0.0177673,0.177827,0.213323,0.118084,0.05321
5.0,1.20772,0.305198,0.324226,0.0190813,0.175694,0.202986,0.151674,0.0732864
5.5,1.19628,0.253478,0.301773,0.0287262,0.167228,0.170839,0.178305,0.0971991
6.0,1.18999,0.241043,0.29681,0.0434222,0.166885,0.170692,0.184846,0.12084
6.5,1.18382,0.243282,0.283368,0.0543665,0.17156,0.168387,0.181803,0.141523
7.0,1.19966,0.243914,0.270419,0.0645762,0.170763,0.169055,0.189626,0.162268
7.5,1.19417,0.225668,0.28037,0.0769848,0.170304,0.160704,0.177561,0.178599
8.0,1.19979,0.219674,0.250548,0.0833656,0.16705,0.161896,0.176882,0.189025
8.5,1.1861,0.214937,0.255034,0.0905973,0.164131,0.152468,0.175419,0.20258
9.0,1.10767,0.223001,0.254304,0.0968488,0.144429,0.150781,0.195942,0.208961
9.5,1.17972,0.26546,0.263065,0.103845,0.159799,0.169093,0.182524,0.213181
10.0,1.21986,0.365153,0.280561,0.111103,0.15802,0.196036,0.192751,0.219584
10.5,1.16251,0.441602,0.316897,0.113021,0.143325,0.211878,0.203561,0.224092
11.0,1.14122,0.475046,0.333456,0.115284,0.1426,0.218581,0.206635,0.229435
11.5,1.14336,0.479723,0.329892,0.12078,0.142923,0.21598,0.2074,0.226191
12.0,1.16475,0.447536,0.334341,0.118705,0.154948,0.199931,0.195109,0.224481
12.5,1.17234,0.447598,0.31839,0.124743,0.147184,0.203304,0.200527,0.226809
13.0,1.17672,0.44362,0.308378,0.126754,0.152135,0.197301,0.190159,0.22281
13.5,1.15419,0.426365,0.31135,0.129054,0.138169,0.195,0.19036,0.225372
14.0,1.14576,0.429385,0.313615,0.1327,0.133724,0.202527,0.185065,0.22371
14.5,1.1812,0.4267,0.305766,0.131444,0.149017,0.200047,0.178207,0.218874
15.0,1.13397,0.416228,0.300204,0.134661,0.13325,0.199308,0.182896,0.216162
15.5,1.14243,0.427925,0.293994,0.142106,0.131876,0.208672,0.177663,0.216829
16.0,1.13879,0.417581,0.296548,0.139447,0.116729,0.208133,0.179652,0.216218
16.5,1.12913,0.411776,0.306362,0.141401,0.122255,0.204904,0.18233,0.214308
17.0,1.10996,0.41964,0.305188,0.144954,0.126146,0.202103,0.171525,0.21463
