time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
76.5,177.676,187.775,137.51,185.711,78.6788,55.0864,55.3769,140.226
77.5,180.387,182.478,146.75,182.425,78.4573,56.4864,60.189,135.492
78.5,183.085,173.252,129.042,182.201,79.5011,53.4199,53.523,135.372
79.5,178.154,174.918,134.26,184.102,77.982,54.7604,53.7472,133.58
80.5,179.808,180.367,131.93,183.409,76.1353,53.3725,52.9047,132.807
81.5,176.826,183.911,135.55,180.722,78.646,51.7241,55.0873,132.397
82.5,176.829,169.987,144.415,183.496,79.4336,53.0269,52.3046,133.043
83.5,178.679,176.835,135.722,182.947,77.2893,53.6393,53.7216,135.73
84.5,176.413,165.89,143.133,182.281,78.6544,54.1415,52.4555,135.706
85.5,175.026,165.458,134.892,180.493,76.6454,51.3904,50.0734,131.614
86.5,175.351,167.973,134.923,182.682,79.5308,51.0519,52.6007,127.553
87.5,174.276,163.556,122.598,181.703,76.0608,51.4649,48.995,131.018
88.5,172.482,167.129,132.93,180.279,79.4401,52.5077,50.4069,133.254
89.5,171.589,170.977,129.092,181.529,80.5025,52.6006,52.7413,131.842
90.5,170.369,171.615,128.554,181.501,79.0342,51.5148,50.4703,125.619
