time (min.),CM mean,Outside cochlear aqueduct mean,Cochlear aqueduct mean,Cochlea mean,CM stdev,Outside cochlear aqueduct stdev,Cochlear aqueduct stdev,Cochlea stdev
-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-2.0,-26.9254,-21.1899,21.1544,-1.7714,118.747,160.803,139.495,145.658
-1.5,31.1321,-34.0733,26.9238,2.07144,131.689,166.578,93.9991,153.285
-1.0,-24.5225,-33.482,43.7394,0.0691239,119.658,134.832,103.151,151.554
-0.5,56.7211,-41.9534,78.0039,0.979509,154.524,141.449,101.637,147.919
0.0,456.56,-93.686,60.8834,-12.7013,568.058,148.017,138.256,147.819
0.5,245.706,-4.99757,57.0137,-0.970774,414.744,161.269,95.67,152.298
1.0,571.576,-31.9071,-7.69251,-9.00054,535.08,171.76,112.163,148.607
1.5,3250.85,-36.0632,-8.81824,20.379,1349.12,148.87,122.747,148.681
2.0,5783.03,-78.0963,53.355,-6.65071,1624.15,149.202,124.039,151.662
2.5,4431.38,13.7192,86.8925,17.1667,1529.38,128.676,101.184,155.505
3.0,4527.52,589.446,155.492,4.56636,1510.11,417.663,135.878,149.088
3.5,4470.34,3228.4,780.133,25.7054,1669.79,1330.25,809.56,150.354
4.0,4286.96,3419.53,1409.58,32.9345,1716.38,1519.84,1081.07,154.864
4.5,4114.52,2567.06,1743.1,18.3235,1725.97,1605.99,946.357,177.152
5.0,4108.02,2402.17,1902.28,47.3715,1715.41,1660.32,883.141,262.895
5.5,4069.12,2288.65,1939.0,73.3052,1687.34,1626.79,822.308,376.064
6.0,4109.78,2211.81,1989.66,165.004,1658.22,1644.57,870.077,487.083
6.5,4022.11,2104.34,2014.73,215.966,1651.14,1590.72,762.267,598.855
7.0,4041.08,2004.91,1843.48,237.541,1734.89,1551.45,806.942,707.216
7.5,4000.66,1999.47,1892.08,308.381,1731.6,1560.71,862.278,792.305
8.0,3787.5,2046.04,2052.21,341.406,1538.83,1555.35,829.839,874.876
8.5,4016.56,2734.99,2213.52,375.601,1533.97,1896.27,764.482,918.884
9.0,4276.09,3076.96,2409.09,413.415,1537.68,1708.12,777.689,957.85
9.5,4392.46,3073.52,2356.42,463.317,1501.27,1716.1,792.85,1003.7
10.0,4519.59,2965.41,2301.37,455.099,1545.89,1589.57,766.33,1022.7
10.5,4651.65,3088.95,2369.69,467.357,1504.29,1632.47,746.892,1041.68
11.0,4681.28,3107.93,2269.78,498.512,1456.28,1619.87,720.227,1056.69
11.5,4802.81,3185.11,2332.82,522.019,1479.29,1585.39,742.571,1083.92
12.0,4815.98,3305.52,2311.29,526.253,1435.42,1549.62,686.081,1075.01
12.5,4925.3,3395.59,2351.35,547.585,1411.25,1554.08,754.898,1075.96
13.0,4971.24,3397.84,2320.16,578.268,1437.77,1470.15,695.463,1060.38
13.5,5004.82,3450.46,2245.95,568.499,1448.1,1461.1,675.838,1062.54
14.0,5060.34,3546.09,2161.57,587.262,1451.23,1519.02,664.434,1079.58
14.5,5091.2,3505.18,2184.2,587.887,1452.69,1458.75,592.951,1085.56
15.0,5098.52,3436.8,2055.52,591.838,1433.52,1419.48,658.009,1080.19
15.5,5205.37,3493.58,2022.97,617.668,1488.48,1390.54,591.87,1069.51
16.0,5183.42,3402.58,1818.13,616.07,1434.95,1362.15,570.413,1055.26
16.5,5283.94,3389.56,1870.9,613.704,1443.97,1364.38,594.901,1073.63
17.0,5254.74,3354.56,1857.6,628.665,1394.43,1332.3,529.87,1054.79
17.5,5455.29,3376.67,1741.67,687.206,1355.84,1315.22,512.128,1046.64
18.0,5280.07,3278.97,1667.66,666.269,1456.82,1267.53,478.761,1066.0
18.5,5340.59,3074.83,1553.82,645.113,1301.86,1238.73,472.271,1057.73
19.0,5375.71,3087.2,1540.94,665.051,1382.76,1236.21,437.5,1020.1
19.5,5433.08,3030.55,1518.0,678.59,1313.9,1176.23,495.434,1027.78
20.0,5370.04,3047.65,1391.05,654.089,1312.64,1170.43,380.559,1019.39
20.5,5368.88,2888.22,1443.87,655.693,1318.76,1109.06,397.502,1028.79
21.0,5228.55,2813.67,1340.14,684.97,1231.78,1064.02,399.072,1026.18
21.5,5349.73,2775.47,1376.7,693.44,1188.0,1077.34,437.536,1001.57
22.0,5378.98,2665.08,1282.75,685.378,1197.04,1019.58,431.247,1008.86
22.5,5456.58,2672.31,1223.41,684.78,1277.55,1039.0,385.019,993.241
23.0,5348.42,2622.57,1238.66,715.521,1148.5,1021.16,396.02,997.657
23.5,5401.08,2506.94,1234.65,682.668,1278.87,1020.23,456.213,972.112
24.0,5444.43,2473.88,1176.86,691.54,1191.86,950.139,368.027,981.691
24.5,5416.83,2390.98,1206.27,705.051,1172.88,932.649,364.872,965.573
25.0,5428.98,2373.87,1163.91,709.118,1245.62,940.897,391.586,982.087
25.5,5414.14,2312.22,1092.12,722.873,1192.38,876.213,368.097,942.89
26.0,5433.08,2172.35,1104.37,690.632,1096.35,883.712,388.172,945.052
26.5,5425.14,2169.24,1109.78,711.324,1067.16,871.406,396.944,930.351
27.0,5436.97,2093.73,1117.62,718.004,1101.28,811.413,352.191,923.618
27.5,5389.72,1965.86,1043.95,682.482,1085.74,762.109,389.658,915.706
28.0,5381.0,1943.94,982.507,709.22,999.282,787.962,348.848,901.678
28.5,5454.73,1884.89,1007.46,724.667,1103.5,753.222,344.366,895.545
29.0,5317.7,1811.72,928.706,704.0,1084.18,711.919,345.703,897.736
29.5,5386.75,1719.92,836.701,691.807,973.831,713.865,366.505,894.871
30.0,5303.52,1743.32,859.989,710.88,1033.36,691.958,339.128,900.54
30.5,5378.19,1738.03,851.734,742.722,964.172,702.033,342.358,854.707
31.0,5374.17,1581.48,881.636,735.596,1002.36,639.986,327.631,841.87
31.5,5380.69,1434.15,783.604,688.349,976.644,609.937,440.098,851.306
32.0,5357.88,1385.37,800.584,707.608,920.021,564.506,388.37,867.467
32.5,5176.05,1432.01,848.779,727.332,926.203,572.503,376.705,845.09
33.0,5293.47,1201.24,830.65,682.31,868.158,563.702,436.525,822.494
33.5,5158.76,1300.22,792.352,694.17,904.894,539.279,370.768,825.513
34.0,5232.09,1279.1,788.74,716.689,953.067,510.812,375.271,815.648
34.5,5181.14,1095.9,679.403,728.426,877.4,434.572,288.452,824.495
35.0,5066.65,1014.25,752.06,729.012,865.631,422.84,355.642,787.674
35.5,5162.18,974.197,647.976,717.272,829.774,457.278,397.318,789.682
36.0,5115.71,910.28,711.017,687.046,854.154,429.527,441.617,780.438
36.5,5135.46,873.421,673.751,704.618,835.117,394.25,406.046,781.724
37.0,4954.78,822.308,686.181,714.633,802.788,348.674,369.452,778.019
37.5,5013.17,780.281,644.13,715.133,798.242,360.634,323.894,744.739
38.0,4947.15,773.395,561.999,720.076,806.478,365.328,318.113,748.157
38.5,4968.01,655.012,560.638,722.567,764.642,305.655,364.094,750.079
39.0,4821.43,679.886,502.804,713.185,770.727,355.488,300.108,738.467
39.5,4928.98,534.149,479.75,690.101,693.65,299.666,445.365,739.831
40.0,4895.27,611.153,590.611,709.975,714.808,299.925,321.635,731.114
40.5,4840.15,573.879,605.175,731.103,689.299,265.548,355.636,722.239
41.0,4916.15,433.208,476.607,664.389,728.16,268.345,348.866,714.943
41.5,4772.36,590.76,537.233,740.257,660.257,304.897,342.564,734.746
42.0,4786.79,537.805,510.285,740.602,659.746,284.962,365.783,743.512
42.5,4679.93,549.807,458.9,711.497,692.688,269.828,300.694,693.677
43.0,4569.95,574.999,527.64,719.854,665.551,271.273,324.909,684.07
43.5,4580.19,520.583,480.36,713.941,618.55,295.791,266.094,691.163
44.0,4573.62,528.52,518.447,728.927,681.214,274.991,263.765,666.348
44.5,4566.11,373.669,536.107,687.924,548.715,233.068,406.525,700.119
45.0,4512.84,417.328,501.467,706.521,608.358,248.443,319.571,698.687
45.5,4521.66,377.865,494.173,656.865,587.621,233.405,401.728,668.147
46.0,4282.22,515.227,520.229,746.977,640.873,281.324,286.728,689.404
46.5,4340.72,403.57,439.599,713.219,571.07,295.025,325.263,657.921
47.0,4354.19,521.476,431.531,717.348,540.948,250.167,296.21,646.654
47.5,4215.7,483.417,410.212,759.09,552.898,273.792,367.781,637.729
48.0,4218.72,437.41,376.698,717.274,556.551,264.249,381.619,640.335
48.5,4057.08,441.97,438.942,702.349,543.392,213.418,311.913,610.934
