,x,y,z
Label 1,149,169,62
Label 2,148,170,62
Label 3,147,171,62
Label 4,147,172,62
Label 5,146,173,62
Label 6,145,174,62
Label 7,144,175,62
Label 8,143,176,62
Label 9,143,177,62
Label 10,142,178,62
Label 11,141,179,62
Label 12,140,180,62
Label 13,139,181,62
Label 14,138,182,62
Label 15,137,183,62
Label 16,136,184,62
Label 17,135,185,62
Label 18,134,186,62
Label 19,133,187,62
