,x,y,z
Label 1,424,176,97
Label 2,425,177,97
Label 3,426,178,97
Label 4,427,179,97
Label 5,428,180,97
Label 6,429,181,97
Label 7,429,182,97
Label 8,430,183,97
Label 9,431,184,97
Label 10,432,185,97
Label 11,433,186,97
Label 12,434,187,97
Label 13,435,188,97
Label 14,436,189,97
Label 15,437,189,97
Label 16,438,190,97
Label 17,439,191,97
Label 18,440,192,97
Label 19,441,193,97
