,x,y,z
CA 1,163,177,90
CA 2,162,178,90
CA 3,161,179,90
CA 4,160,180,90
CA 5,159,181,90
CA 6,158,182,90
CA 7,157,183,90
CA 8,157,184,90
CA 9,156,185,90
CA 10,156,186,90
CA 11,155,187,90
CA 12,154,188,90
CA 13,153,189,90
CA 14,152,190,90
CA 15,151,191,90
CA 16,150,192,90
CA 17,149,193,90
CA 18,148,194,90
CA 19,147,195,90
