,x,y,z
CA 1,409,164,81
CA 2,410,165,81
CA 3,410,166,81
CA 4,411,167,81
CA 5,412,168,81
CA 6,412,169,81
CA 7,413,170,81
CA 8,414,171,81
CA 9,414,172,81
CA 10,415,173,81
CA 11,415,174,81
CA 12,416,175,81
CA 13,417,176,81
CA 14,418,177,81
CA 15,418,178,81
CA 16,419,179,81
CA 17,420,180,81
CA 18,421,181,81
CA 19,422,182,81
